date,value
2010-12-09,0.4348
2010-12-10,0.4264
2010-12-13,0.4288
2010-12-14,0.4133
2010-12-15,0.3986
2010-12-16,0.3719
2010-12-17,0.348
2010-12-20,0.3476
2010-12-21,0.3229
2010-12-22,0.3028
2010-12-23,0.2601
2010-12-27,0.2138
2010-12-28,0.2026
2010-12-29,0.1859
2010-12-30,0.1889
2010-12-31,0.1834
2011-01-03,0.1813
2011-01-04,0.1822
2011-01-05,0.1862
2011-01-06,0.1785
2011-01-07,0.1906
2011-01-10,0.1911
2011-01-11,0.1976
2011-01-12,0.262
2011-01-13,0.2898
2011-01-14,0.2966
2011-01-18,0.3051
2011-01-19,0.2892
2011-01-20,0.2946
2011-01-21,0.2789
2011-01-24,0.2596
2011-01-25,0.2481
2011-01-26,0.231
2011-01-27,0.2156
2011-01-28,0.2287
2011-01-31,0.2252
2011-02-01,0.2578
2011-02-02,0.2403
2011-02-03,0.2581
2011-02-04,0.2451
2011-02-07,0.2209
2011-02-08,0.2016
2011-02-09,0.19
2011-02-10,0.1931
2011-02-11,0.1743
2011-02-14,0.169
2011-02-15,0.1469
2011-02-16,0.1493
2011-02-17,0.1326
2011-02-18,0.1296
2011-02-22,0.1018
2011-02-23,0.0942
2011-02-24,0.1009
2011-02-25,0.0926
2011-02-28,0.0939
2011-03-01,0.0863
2011-03-02,0.081
2011-03-03,0.088
2011-03-04,0.085
2011-03-07,0.0965
2011-03-08,0.0994
2011-03-09,0.0992
2011-03-10,0.0897
2011-03-11,0.1021
2011-03-14,0.1032
2011-03-15,0.1769
2011-03-16,0.2269
2011-03-17,0.2671
2011-03-18,0.3048
2011-03-21,0.3161
2011-03-22,0.3181
2011-03-23,0.3139
2011-03-24,0.34
2011-03-25,0.3416
2011-03-28,0.3248
2011-03-29,0.3181
2011-03-30,0.2961
2011-03-31,0.2922
2011-04-01,0.2827
2011-04-04,0.2687
2011-04-05,0.2704
2011-04-06,0.2599
2011-04-07,0.2402
2011-04-08,0.2368
2011-04-11,0.2264
2011-04-12,0.2387
2011-04-13,0.2254
2011-04-14,0.2288
2011-04-15,0.217
2011-04-18,0.2836
2011-04-19,0.3095
2011-04-20,0.3494
2011-04-21,0.3459
2011-04-25,0.3035
2011-04-26,0.2977
2011-04-27,0.3017
2011-04-28,0.2837
2011-04-29,0.2677
2011-05-02,0.2418
2011-05-03,0.2208
2011-05-04,0.2147
2011-05-05,0.2668
2011-05-06,0.3053
2011-05-09,0.3221
2011-05-10,0.3285
2011-05-11,0.3205
2011-05-12,0.3085
2011-05-13,0.2923
2011-05-16,0.2684
2011-05-17,0.2554
2011-05-18,0.2391
2011-05-19,0.2223
2011-05-20,0.2339
2011-05-23,0.266
2011-05-24,0.2652
2011-05-25,0.2643
2011-05-26,0.249
2011-05-27,0.2613
2011-05-31,0.275
2011-06-01,0.2676
2011-06-02,0.2939
2011-06-03,0.287
2011-06-06,0.2704
2011-06-07,0.2531
2011-06-08,0.2506
2011-06-09,0.2342
2011-06-10,0.2505
2011-06-13,0.254
2011-06-14,0.2524
2011-06-15,0.2952
2011-06-16,0.3193
2011-06-17,0.3207
2011-06-20,0.3139
2011-06-21,0.3166
2011-06-22,0.3073
2011-06-23,0.3341
2011-06-24,0.3286
2011-06-27,0.3379
2011-06-28,0.3397
2011-06-29,0.3295
2011-06-30,0.3085
2011-07-01,0.2758
2011-07-05,0.2314
2011-07-06,0.2484
2011-07-07,0.2384
2011-07-08,0.2984
2011-07-11,0.4089
2011-07-12,0.4451
2011-07-13,0.4597
2011-07-14,0.4744
2011-07-15,0.4667
2011-07-18,0.4802
2011-07-19,0.4677
2011-07-20,0.4506
2011-07-21,0.4615
2011-07-22,0.4407
2011-07-25,0.4262
2011-07-26,0.4161
2011-07-27,0.4387
2011-07-28,0.4327
2011-07-29,0.4324
2011-08-01,0.4501
2011-08-02,0.4568
2011-08-03,0.4678
2011-08-04,0.4977
2011-08-05,0.4816
2011-08-08,0.5273
2011-08-09,0.5663
2011-08-10,0.6278
2011-08-11,0.6441
2011-08-12,0.6446
2011-08-15,0.6691
2011-08-16,0.6731
2011-08-17,0.6604
2011-08-18,0.6879
2011-08-19,0.6917
2011-08-22,0.6629
2011-08-23,0.6403
2011-08-24,0.6156
2011-08-25,0.5831
2011-08-26,0.5688
2011-08-29,0.5347
2011-08-30,0.5086
2011-08-31,0.4808
2011-09-01,0.4642
2011-09-02,0.4836
2011-09-06,0.4903
2011-09-07,0.4851
2011-09-08,0.5236
2011-09-09,0.5831
2011-09-12,0.618
2011-09-13,0.6236
2011-09-14,0.6233
2011-09-15,0.6366
2011-09-16,0.629
2011-09-19,0.6527
2011-09-20,0.635
2011-09-21,0.6502
2011-09-22,0.673
2011-09-23,0.6682
2011-09-26,0.6482
2011-09-27,0.6304
2011-09-28,0.6033
2011-09-29,0.5781
2011-09-30,0.6588
2011-10-03,0.6913
2011-10-04,0.7154
