date,sentiment,positive,negative,neutral,count,asset_class
2000-02-15,0.6711,0.6816,0.0105,0.3079,1,commodity
2000-02-17,-0.5201,0.0499,0.57,0.38,1,commodity
2000-03-24,-0.3714,0.1075,0.4789,0.4136,1,commodity
2000-04-27,0.2924,0.4277,0.1353,0.437,1,commodity
2000-05-04,0.3613,0.5677,0.2064,0.2259,1,commodity
2000-05-17,-0.3413,0.0349,0.3762,0.5889,1,commodity
2000-05-19,0.4192,0.5284,0.1092,0.3625,1,commodity
2000-05-30,0.1671,0.2321,0.065,0.7029,1,commodity
2000-06-07,-0.544,0.0442,0.5882,0.3677,1,commodity
2000-06-21,0.3303,0.4736,0.1432,0.3832,1,commodity
2000-06-22,0.1455,0.2479,0.1024,0.6497,1,commodity
2000-06-27,0.3422,0.42,0.0778,0.5022,1,commodity
2000-06-28,0.4793,0.5516,0.0723,0.3761,1,commodity
2000-07-08,0.2337,0.2517,0.0181,0.7302,1,commodity
2000-07-11,-0.268,0.1476,0.4156,0.4368,1,commodity
2000-08-24,0.3847,0.408,0.0233,0.5687,1,commodity
2000-09-07,0.1241,0.2726,0.1486,0.5788,1,commodity
2000-09-08,-0.3705,0.0891,0.4595,0.4514,1,commodity
2000-09-14,0.5375,0.6143,0.0768,0.3089,1,commodity
2000-10-10,0.1899,0.3599,0.17,0.4702,1,commodity
2000-10-16,-0.4295,0.0732,0.5027,0.4241,1,commodity
2000-10-17,-0.5892,0.0254,0.6146,0.36,1,commodity
2000-10-23,-0.0684,0.139,0.2074,0.6536,1,commodity
2000-10-26,0.2495,0.4342,0.1847,0.3811,1,commodity
2000-11-01,-0.3019,0.1055,0.4074,0.4871,1,commodity
2000-11-08,0.0138,0.1044,0.0907,0.8049,1,commodity
2000-12-07,-0.5672,0.081,0.6482,0.2708,1,commodity
2000-12-13,-0.259,0.0332,0.2922,0.6745,1,commodity
2000-12-15,0.4269,0.4546,0.0277,0.5177,1,commodity
2001-01-02,-0.3308,0.1585,0.4893,0.3522,1,commodity
2001-01-10,-0.2227,0.1413,0.3639,0.4948,1,commodity
2001-02-02,-0.2265,0.0276,0.2542,0.7182,1,commodity
2001-02-09,-0.3292,0.1116,0.4408,0.4476,1,commodity
2001-02-20,-0.2196,0.0279,0.2475,0.7246,1,commodity
2001-02-22,0.3502,0.4346,0.0845,0.4809,1,commodity
2001-03-05,0.422,0.4893,0.0673,0.4434,1,commodity
2001-03-07,-0.2079,0.0365,0.2444,0.719,1,commodity
2001-03-13,-0.7012,0.0237,0.7249,0.2514,1,commodity
2001-03-20,-0.1818,0.0866,0.2684,0.645,1,commodity
2001-03-29,-0.1494,0.0607,0.21,0.7293,1,commodity
2001-04-10,-0.6956,0.0275,0.7231,0.2495,1,commodity
2001-04-24,0.3868,0.4727,0.086,0.4413,1,commodity
2001-05-03,0.0251,0.2673,0.2422,0.4906,1,commodity
