date,symbol,close,adj_close
2010-01-04,^VIX,20.040000915527344,20.040000915527344
2010-01-05,^VIX,19.350000381469727,19.350000381469727
2010-01-06,^VIX,19.15999984741211,19.15999984741211
2010-01-07,^VIX,19.059999465942383,19.059999465942383
2010-01-08,^VIX,18.1299991607666,18.1299991607666
2010-01-11,^VIX,17.549999237060547,17.549999237060547
2010-01-12,^VIX,18.25,18.25
2010-01-13,^VIX,17.850000381469727,17.850000381469727
2010-01-14,^VIX,17.6299991607666,17.6299991607666
2010-01-15,^VIX,17.90999984741211,17.90999984741211
2010-01-19,^VIX,17.579999923706055,17.579999923706055
2010-01-20,^VIX,18.68000030517578,18.68000030517578
2010-01-21,^VIX,22.270000457763672,22.270000457763672
2010-01-22,^VIX,27.309999465942383,27.309999465942383
2010-01-25,^VIX,25.40999984741211,25.40999984741211
2010-01-26,^VIX,24.549999237060547,24.549999237060547
2010-01-27,^VIX,23.139999389648438,23.139999389648438
2010-01-28,^VIX,23.729999542236328,23.729999542236328
2010-01-29,^VIX,24.6200008392334,24.6200008392334
2010-02-01,^VIX,22.59000015258789,22.59000015258789
2010-02-02,^VIX,21.479999542236328,21.479999542236328
2010-02-03,^VIX,21.600000381469727,21.600000381469727
2010-02-04,^VIX,26.079999923706055,26.079999923706055
2010-02-05,^VIX,26.110000610351562,26.110000610351562
2010-02-08,^VIX,26.510000228881836,26.510000228881836
2010-02-09,^VIX,26.0,26.0
2010-02-10,^VIX,25.399999618530273,25.399999618530273
2010-02-11,^VIX,23.959999084472656,23.959999084472656
2010-02-12,^VIX,22.729999542236328,22.729999542236328
2010-02-16,^VIX,22.25,22.25
2010-02-17,^VIX,21.719999313354492,21.719999313354492
2010-02-18,^VIX,20.6299991607666,20.6299991607666
2010-02-19,^VIX,20.020000457763672,20.020000457763672
2010-02-22,^VIX,19.940000534057617,19.940000534057617
2010-02-23,^VIX,21.3700008392334,21.3700008392334
2010-02-24,^VIX,20.270000457763672,20.270000457763672
2010-02-25,^VIX,20.100000381469727,20.100000381469727
2010-02-26,^VIX,19.5,19.5
2010-03-01,^VIX,19.260000228881836,19.260000228881836
2010-03-02,^VIX,19.059999465942383,19.059999465942383
2010-03-03,^VIX,18.829999923706055,18.829999923706055
2010-03-04,^VIX,18.719999313354492,18.719999313354492
2010-03-05,^VIX,17.420000076293945,17.420000076293945
2010-03-08,^VIX,17.790000915527344,17.790000915527344
2010-03-09,^VIX,17.920000076293945,17.920000076293945
2010-03-10,^VIX,18.56999969482422,18.56999969482422
2010-03-11,^VIX,18.059999465942383,18.059999465942383
2010-03-12,^VIX,17.579999923706055,17.579999923706055
2010-03-15,^VIX,18.0,18.0
2010-03-16,^VIX,17.690000534057617,17.690000534057617
2010-03-17,^VIX,16.90999984741211,16.90999984741211
2010-03-18,^VIX,16.6200008392334,16.6200008392334
2010-03-19,^VIX,16.969999313354492,16.969999313354492
2010-03-22,^VIX,16.8700008392334,16.8700008392334
2010-03-23,^VIX,16.350000381469727,16.350000381469727
2010-03-24,^VIX,17.549999237060547,17.549999237060547
2010-03-25,^VIX,18.399999618530273,18.399999618530273
2010-03-26,^VIX,17.770000457763672,17.770000457763672
2010-03-29,^VIX,17.59000015258789,17.59000015258789
2010-03-30,^VIX,17.1299991607666,17.1299991607666
2010-03-31,^VIX,17.59000015258789,17.59000015258789
2010-04-01,^VIX,17.469999313354492,17.469999313354492
2010-04-05,^VIX,17.020000457763672,17.020000457763672
2010-04-06,^VIX,16.229999542236328,16.229999542236328
2010-04-07,^VIX,16.6200008392334,16.6200008392334
2010-04-08,^VIX,16.479999542236328,16.479999542236328
2010-04-09,^VIX,16.139999389648438,16.139999389648438
2010-04-12,^VIX,15.579999923706055,15.579999923706055
2010-04-13,^VIX,16.200000762939453,16.200000762939453
2010-04-14,^VIX,15.59000015258789,15.59000015258789
2010-04-15,^VIX,15.890000343322754,15.890000343322754
2010-04-16,^VIX,18.360000610351562,18.360000610351562
2010-04-19,^VIX,17.34000015258789,17.34000015258789
2010-04-20,^VIX,15.729999542236328,15.729999542236328
2010-04-21,^VIX,16.31999969482422,16.31999969482422
2010-04-22,^VIX,16.469999313354492,16.469999313354492
2010-04-23,^VIX,16.6200008392334,16.6200008392334
2010-04-26,^VIX,17.469999313354492,17.469999313354492
2010-04-27,^VIX,22.809999465942383,22.809999465942383
2010-04-28,^VIX,21.079999923706055,21.079999923706055
2010-04-29,^VIX,18.440000534057617,18.440000534057617
2010-04-30,^VIX,22.049999237060547,22.049999237060547
2010-05-03,^VIX,20.190000534057617,20.190000534057617
2010-05-04,^VIX,23.84000015258789,23.84000015258789
2010-05-05,^VIX,24.90999984741211,24.90999984741211
2010-05-06,^VIX,32.79999923706055,32.79999923706055
2010-05-07,^VIX,40.95000076293945,40.95000076293945
2010-05-10,^VIX,28.84000015258789,28.84000015258789
2010-05-11,^VIX,28.31999969482422,28.31999969482422
2010-05-12,^VIX,25.520000457763672,25.520000457763672
2010-05-13,^VIX,26.68000030517578,26.68000030517578
2010-05-14,^VIX,31.239999771118164,31.239999771118164
2010-05-17,^VIX,30.84000015258789,30.84000015258789
2010-05-18,^VIX,33.54999923706055,33.54999923706055
2010-05-19,^VIX,35.31999969482422,35.31999969482422
2010-05-20,^VIX,45.790000915527344,45.790000915527344
2010-05-21,^VIX,40.099998474121094,40.099998474121094
2010-05-24,^VIX,38.31999969482422,38.31999969482422
2010-05-25,^VIX,34.61000061035156,34.61000061035156
2010-05-26,^VIX,35.02000045776367,35.02000045776367
2010-05-27,^VIX,29.68000030517578,29.68000030517578
2010-05-28,^VIX,32.06999969482422,32.06999969482422
2010-06-01,^VIX,35.540000915527344,35.540000915527344
2010-06-02,^VIX,30.170000076293945,30.170000076293945
2010-06-03,^VIX,29.459999084472656,29.459999084472656
2010-06-04,^VIX,35.47999954223633,35.47999954223633
2010-06-07,^VIX,36.56999969482422,36.56999969482422
2010-06-08,^VIX,33.70000076293945,33.70000076293945
2010-06-09,^VIX,33.72999954223633,33.72999954223633
2010-06-10,^VIX,30.56999969482422,30.56999969482422
2010-06-11,^VIX,28.790000915527344,28.790000915527344
2010-06-14,^VIX,28.579999923706055,28.579999923706055
2010-06-15,^VIX,25.8700008392334,25.8700008392334
2010-06-16,^VIX,25.920000076293945,25.920000076293945
2010-06-17,^VIX,25.049999237060547,25.049999237060547
2010-06-18,^VIX,23.950000762939453,23.950000762939453
2010-06-21,^VIX,24.8799991607666,24.8799991607666
2010-06-22,^VIX,27.049999237060547,27.049999237060547
2010-06-23,^VIX,26.90999984741211,26.90999984741211
2010-06-24,^VIX,29.739999771118164,29.739999771118164
2010-06-25,^VIX,28.530000686645508,28.530000686645508
2010-06-28,^VIX,29.0,29.0
2010-06-29,^VIX,34.130001068115234,34.130001068115234
2010-06-30,^VIX,34.540000915527344,34.540000915527344
2010-07-01,^VIX,32.86000061035156,32.86000061035156
2010-07-02,^VIX,30.1200008392334,30.1200008392334
2010-07-06,^VIX,29.649999618530273,29.649999618530273
2010-07-07,^VIX,26.84000015258789,26.84000015258789
2010-07-08,^VIX,25.709999084472656,25.709999084472656
2010-07-09,^VIX,24.979999542236328,24.979999542236328
2010-07-12,^VIX,24.43000030517578,24.43000030517578
2010-07-13,^VIX,24.559999465942383,24.559999465942383
2010-07-14,^VIX,24.889999389648438,24.889999389648438
2010-07-15,^VIX,25.139999389648438,25.139999389648438
2010-07-16,^VIX,26.25,26.25
2010-07-19,^VIX,25.969999313354492,25.969999313354492
2010-07-20,^VIX,23.93000030517578,23.93000030517578
2010-07-21,^VIX,25.639999389648438,25.639999389648438
2010-07-22,^VIX,24.6299991607666,24.6299991607666
2010-07-23,^VIX,23.469999313354492,23.469999313354492
2010-07-26,^VIX,22.729999542236328,22.729999542236328
2010-07-27,^VIX,23.190000534057617,23.190000534057617
2010-07-28,^VIX,24.25,24.25
2010-07-29,^VIX,24.1299991607666,24.1299991607666
2010-07-30,^VIX,23.5,23.5
2010-08-02,^VIX,22.010000228881836,22.010000228881836
2010-08-03,^VIX,22.6299991607666,22.6299991607666
2010-08-04,^VIX,22.209999084472656,22.209999084472656
2010-08-05,^VIX,22.100000381469727,22.100000381469727
2010-08-06,^VIX,21.739999771118164,21.739999771118164
2010-08-09,^VIX,22.139999389648438,22.139999389648438
2010-08-10,^VIX,22.3700008392334,22.3700008392334
2010-08-11,^VIX,25.389999389648438,25.389999389648438
2010-08-12,^VIX,25.729999542236328,25.729999542236328
2010-08-13,^VIX,26.239999771118164,26.239999771118164
2010-08-16,^VIX,26.100000381469727,26.100000381469727
2010-08-17,^VIX,24.329999923706055,24.329999923706055
2010-08-18,^VIX,24.59000015258789,24.59000015258789
2010-08-19,^VIX,26.440000534057617,26.440000534057617
2010-08-20,^VIX,25.489999771118164,25.489999771118164
2010-08-23,^VIX,25.65999984741211,25.65999984741211
2010-08-24,^VIX,27.459999084472656,27.459999084472656
2010-08-25,^VIX,26.700000762939453,26.700000762939453
2010-08-26,^VIX,27.3700008392334,27.3700008392334
2010-08-27,^VIX,24.450000762939453,24.450000762939453
2010-08-30,^VIX,27.209999084472656,27.209999084472656
2010-08-31,^VIX,26.049999237060547,26.049999237060547
2010-09-01,^VIX,23.889999389648438,23.889999389648438
2010-09-02,^VIX,23.190000534057617,23.190000534057617
2010-09-03,^VIX,21.309999465942383,21.309999465942383
2010-09-07,^VIX,23.799999237060547,23.799999237060547
2010-09-08,^VIX,23.25,23.25
2010-09-09,^VIX,22.809999465942383,22.809999465942383
2010-09-10,^VIX,21.989999771118164,21.989999771118164
2010-09-13,^VIX,21.209999084472656,21.209999084472656
2010-09-14,^VIX,21.559999465942383,21.559999465942383
2010-09-15,^VIX,22.100000381469727,22.100000381469727
2010-09-16,^VIX,21.719999313354492,21.719999313354492
2010-09-17,^VIX,22.010000228881836,22.010000228881836
2010-09-20,^VIX,21.5,21.5
2010-09-21,^VIX,22.350000381469727,22.350000381469727
2010-09-22,^VIX,22.510000228881836,22.510000228881836
2010-09-23,^VIX,23.8700008392334,23.8700008392334
2010-09-24,^VIX,21.709999084472656,21.709999084472656
2010-09-27,^VIX,22.540000915527344,22.540000915527344
2010-09-28,^VIX,22.600000381469727,22.600000381469727
2010-09-29,^VIX,23.25,23.25
2010-09-30,^VIX,23.700000762939453,23.700000762939453
2010-10-01,^VIX,22.5,22.5
2010-10-04,^VIX,23.530000686645508,23.530000686645508
2010-10-05,^VIX,21.760000228881836,21.760000228881836
2010-10-06,^VIX,21.489999771118164,21.489999771118164
2010-10-07,^VIX,21.559999465942383,21.559999465942383
2010-10-08,^VIX,20.709999084472656,20.709999084472656
2010-10-11,^VIX,18.959999084472656,18.959999084472656
2010-10-12,^VIX,18.93000030517578,18.93000030517578
2010-10-13,^VIX,19.06999969482422,19.06999969482422
2010-10-14,^VIX,19.8799991607666,19.8799991607666
2010-10-15,^VIX,19.030000686645508,19.030000686645508
2010-10-18,^VIX,19.09000015258789,19.09000015258789
2010-10-19,^VIX,20.6299991607666,20.6299991607666
2010-10-20,^VIX,19.790000915527344,19.790000915527344
2010-10-21,^VIX,19.270000457763672,19.270000457763672
2010-10-22,^VIX,18.780000686645508,18.780000686645508
2010-10-25,^VIX,19.850000381469727,19.850000381469727
2010-10-26,^VIX,20.219999313354492,20.219999313354492
2010-10-27,^VIX,20.709999084472656,20.709999084472656
2010-10-28,^VIX,20.8799991607666,20.8799991607666
2010-10-29,^VIX,21.200000762939453,21.200000762939453
2010-11-01,^VIX,21.829999923706055,21.829999923706055
2010-11-02,^VIX,21.56999969482422,21.56999969482422
2010-11-03,^VIX,19.559999465942383,19.559999465942383
2010-11-04,^VIX,18.520000457763672,18.520000457763672
2010-11-05,^VIX,18.260000228881836,18.260000228881836
2010-11-08,^VIX,18.290000915527344,18.290000915527344
2010-11-09,^VIX,19.079999923706055,19.079999923706055
2010-11-10,^VIX,18.469999313354492,18.469999313354492
2010-11-11,^VIX,18.639999389648438,18.639999389648438
2010-11-12,^VIX,20.610000610351562,20.610000610351562
