date,ciss,vix,sentiment,text_count,returns
2010-01-05,0.1739,19.350000381469727,-0.32874746710205305,26,0.002643598856945032
2010-01-06,0.1676,19.15999984741211,-0.27956391862481833,28,0.0007038078265661165
2010-01-07,0.1615,19.059999465942383,-0.22493524823861902,29,0.004212409508558978
2010-01-08,0.1535,18.1299991607666,-0.29677094705807316,28,0.003322238148105345
2010-01-11,0.1419,17.549999237060547,-0.1961527283733281,26,0.001395583828601838
2010-01-12,0.1421,18.25,-0.2731432282150938,26,-0.009370002981638407
2010-01-13,0.1488,17.850000381469727,-0.06247262556978634,28,0.008410764997257939
2010-01-14,0.147,17.6299991607666,-0.1614726952963405,27,0.0027009169498924896
2010-01-15,0.1525,17.90999984741211,-0.0641495523472818,26,-0.01128769842092077
2010-01-19,0.1552,17.579999923706055,-0.27453967675908847,27,0.012418158601532813
2010-01-20,0.1799,18.68000030517578,-0.04779891859251878,29,-0.010220645289470582
2010-01-21,0.2133,22.270000457763672,-0.18963935838187734,30,-0.019416386172991826
2010-01-22,0.231,27.309999465942383,-0.1680654030149946,26,-0.022544052927681114
2010-01-25,0.2415,25.40999984741211,-0.16988743454791033,26,0.005114611291248728
2010-01-26,0.2466,24.549999237060547,-0.10912074621595719,27,-0.004199377146661329
2010-01-27,0.2504,23.139999389648438,-0.0893824564166643,27,0.004745872500929444
2010-01-28,0.251,23.729999542236328,-0.15812276432917075,27,-0.011538609039077309
2010-01-29,0.2456,24.6200008392334,-0.3059184164381944,26,-0.010928061246273754
2010-02-01,0.2431,22.59000015258789,-0.32762977416412187,26,0.01543110492539478
2010-02-02,0.2349,21.479999542236328,-0.1711561852851166,26,0.012030766016371344
2010-02-03,0.2105,21.600000381469727,-0.007233726846772648,28,-0.0049952006564152355
2010-02-04,0.2383,26.079999923706055,-0.2574362253340391,26,-0.0313522634255587
2010-02-05,0.2279,26.110000610351562,-0.11946800576809508,26,0.0020647704604640923
2010-02-08,0.2168,26.510000228881836,-0.19648566163154665,27,-0.007245425828528924
2010-02-09,0.2242,26.0,-0.28638379598179686,26,0.012481996106075654
2010-02-10,0.2281,25.399999618530273,-0.17175992880703084,28,-0.001960501782608886
2010-02-11,0.2443,23.959999084472656,-0.2750596543513771,28,0.01041187355489067
2010-02-12,0.2439,22.729999542236328,-0.08202016120776534,26,-0.0008326441583239722
2010-02-16,0.2464,22.25,-0.3301552022909676,27,0.015612374766159553
2010-02-17,0.2574,21.719999313354492,-0.2661445446025867,26,0.004727320371479247
2010-02-18,0.2498,20.6299991607666,-0.16375367432975999,26,0.005877862099377857
2010-02-19,0.249,20.020000457763672,-0.17443619241962832,27,0.002071567724640939
2010-02-22,0.2439,19.940000534057617,-0.2201486987133439,26,0.00017997545875216554
2010-02-23,0.2682,21.3700008392334,-0.21963648260783938,28,-0.012219060442174298
2010-02-24,0.2627,20.270000457763672,-0.35583437846686977,26,0.009155683308789709
2010-02-25,0.2796,20.100000381469727,-0.11879781700352142,29,-0.0013544769538892949
2010-02-26,0.2768,19.5,-0.04694229163802587,26,0.0006323083727991272
2010-03-01,0.2812,19.260000228881836,-0.32915601051914006,26,0.010331148260388218
2010-03-02,0.2664,19.059999465942383,-0.13759481090042328,27,0.0027667255246233763
2010-03-03,0.254,18.829999923706055,-0.1323954112804894,28,0.0008909230301162593
2010-03-04,0.2445,18.719999313354492,-0.35923443806286043,26,0.003022998071683764
2010-03-05,0.2644,17.420000076293945,-0.14379982908184713,26,0.014192142783185868
2010-03-08,0.2442,17.790000915527344,-0.18395386656591933,28,0.00017501000709962364
2010-03-09,0.2271,17.920000076293945,-0.1483978574052967,29,0.0016613692008763492
