date,sentiment_mean,sentiment_std,sentiment_count,ciss_mean,ciss_max,ciss_min,realized_vol
2010-01-10,-0.2825043952558909,0.04345422605151238,4,0.164125,0.1739,0.1535,0.02365398246802731
2010-01-17,-0.1514781659603661,0.09006437627148503,5,0.14645999999999998,0.1525,0.1419,0.13326711891309256
2010-01-24,-0.1700108391871198,0.09354338549081,4,0.19485,0.231,0.1552,0.2507686685106982
2010-01-31,-0.16648636358957938,0.08479186428516831,5,0.24702000000000002,0.251,0.2415,0.12857223207829135
2010-02-07,-0.17658478347962908,0.12381752826032624,5,0.23094,0.2431,0.2105,0.29546776484350734
2010-02-14,-0.20234184039590336,0.08336333935544915,5,0.23146,0.2443,0.2168,0.13474377749762065
2010-02-21,-0.23362240341073565,0.07907995490267776,4,0.25065,0.2574,0.2464,0.09385482501798466
2010-02-28,-0.19227193368592005,0.11704460323829897,5,0.26624,0.2796,0.2439,0.1211045907760842
2010-03-07,-0.22043609996895208,0.11354730034486493,5,0.2621,0.2812,0.2445,0.09084582498229929
2010-03-14,-0.18106218039754013,0.026967899896880948,5,0.21842,0.2442,0.1926,0.03341553354725462
2010-03-21,-0.17634767445781035,0.059874924297046335,5,0.1711,0.178,0.1647,0.10609751474763687
2010-03-28,-0.16222507548506368,0.09620300111683218,5,0.1318,0.1464,0.1236,0.07887061014938453
2010-04-04,-0.2538641117204919,0.08575791948488994,4,0.1288,0.1364,0.12,0.0774934980719524
2010-04-11,-0.19111756542866556,0.07763191654603101,5,0.12946,0.1389,0.1206,0.08532259403657141
2010-04-18,-0.2506052030766262,0.08929964737641828,5,0.14304,0.1546,0.133,0.15632808539835139
2010-04-25,-0.17229088679144,0.05102540517521607,5,0.16164,0.1834,0.1469,0.06407866587286186
2010-05-02,-0.17856426235064898,0.11544108199911977,5,0.23852,0.267,0.1792,0.2465094748936052
2010-05-09,-0.18520829260209237,0.14749779850808117,5,0.35784000000000005,0.4265,0.272,0.2829915484240218
2010-05-16,-0.19268605195186558,0.04072933933797684,5,0.4625,0.4936,0.43,0.392041593948518
2010-05-23,-0.2209567706835207,0.12766462814552146,5,0.5102599999999999,0.5367,0.4809,0.311924148369902
2010-05-30,-0.160963590388313,0.1543260249508546,5,0.57582,0.5867,0.5523,0.3020750801073284
2010-06-06,-0.23554111276301692,0.14271924790422516,4,0.59495,0.6207,0.581,0.4200774294774927
2010-06-13,-0.1295554428722464,0.10235653507636298,5,0.60488,0.6165,0.596,0.2526534207785251
2010-06-20,-0.18453919705003258,0.09668992016885467,5,0.54162,0.5886,0.494,0.16938738082867838
2010-06-27,-0.2246181742439804,0.09778413546989864,5,0.45722000000000007,0.4694,0.4344,0.14735992990850175
2010-07-04,-0.25514494095517787,0.09921894083124558,5,0.49152000000000007,0.5207,0.442,0.18637473567136748
2010-07-11,-0.2985363200744459,0.051972090397267585,4,0.4606,0.4924,0.4177,0.18445704126530713
2010-07-18,-0.34153456728194725,0.13411380174701854,5,0.3933,0.408,0.3746,0.24784002551975037
2010-07-25,-0.32528761298671377,0.11799349932437808,5,0.37252,0.3951,0.3576,0.20247895983301592
2010-08-01,-0.37672184103381134,0.1033698846559558,5,0.3294,0.3526,0.3074,0.10435991758142282
2010-08-08,-0.39344592441938014,0.09561921761423815,5,0.33049999999999996,0.3432,0.3179,0.17948019669542045
2010-08-15,-0.35446645761557266,0.0708396223176836,5,0.36744,0.4244,0.276,0.19490049931049552
2010-08-22,-0.2933529620599048,0.04515597892945387,5,0.41547999999999996,0.4224,0.4116,0.1703728197962001
2010-08-29,-0.38908993821059323,0.10776926044634458,5,0.40919999999999995,0.439,0.3804,0.1822013610155499
2010-09-05,-0.36859137858605023,0.08665169665104053,5,0.39632,0.4202,0.3738,0.25842894757519763
2010-09-12,-0.40655310815030304,0.051406033655658046,4,0.4323,0.4456,0.4161,0.1350277326787629
2010-09-19,-0.3022197754341576,0.06480531427444242,5,0.42512,0.434,0.4149,0.09581516767134315
