date,regime,confidence,prob_risk_on,prob_risk_off,prob_transition,crypto_sentiment,equity_sentiment,vix_level,ciss_level,crypto_sentiment_change,vix_change
2022-06-12,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,0.0085597191426459,0.0293100726895119,0.0,0.0,,
2022-06-13,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0741072719967858,-0.0213834558823529,34.02000045776367,0.4766,-0.0826669911394317,34.02000045776367
2022-06-14,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0377859148338792,-0.0063713740458015,32.689998626708984,0.4959,0.036321357162906596,-1.3300018310546875
2022-06-15,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0278045695045695,0.007486210131332,29.6200008392334,0.5161,0.0099813453293097,-3.069997787475586
2022-06-16,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0114161603888213,-0.0066560885608856,32.95000076293945,0.5424,0.0163884091157482,3.3299999237060547
2022-06-17,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0214608899297423,0.0275642143505903,31.1299991607666,0.5597,-0.010044729540921001,-1.8200016021728516
2022-06-18,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0424231965442764,0.0349493348115299,31.1299991607666,0.5597,-0.020962306614534097,0.0
2022-06-19,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0302367321867321,0.0094701311806256,31.1299991607666,0.5597,0.012186464357544297,0.0
2022-06-20,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.014926695706285,0.002602969348659,31.1299991607666,0.5597,0.0451634278930171,0.0
2022-06-21,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0236280976220275,0.0072233555767397,30.190000534057617,0.5521,0.0087014019157425,-0.9399986267089844
2022-06-22,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.038903619302949,0.0362600368324125,28.950000762939453,0.5471,0.0152755216809215,-1.239999771118164
2022-06-23,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0363135080645161,0.013238681948424,29.049999237060547,0.5537,-0.0025901112384328975,0.09999847412109375
2022-06-24,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.059600147601476,0.0479129245283019,27.229999542236328,0.5353,0.023286639536959898,-1.8199996948242188
2022-06-25,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.048824356617647,0.0057200197238658,27.229999542236328,0.5353,-0.010775790983828998,0.0
2022-06-26,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0424479224376731,0.0234353892821031,27.229999542236328,0.5353,-0.006376434179973904,0.0
2022-06-27,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0310476821192053,0.0693669322709163,26.950000762939453,0.5044,-0.0114002403184678,-0.279998779296875
