date,regime,confidence,prob_risk_on,prob_risk_off,prob_transition,crypto_sentiment,equity_sentiment,vix_level,ciss_level,crypto_sentiment_change,vix_change
2022-05-01,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,-0.0125360217983651,0.0546256898192197,0.0,0.0,,
2022-05-02,transition,0.6258666551442104,0.2720780565195915,0.10205528833619827,0.6258666551442104,0.0057361274509803,0.0300921369102682,32.34000015258789,0.3426,0.0182721492493454,32.34000015258789
2022-05-03,transition,0.6258666551442104,0.2720780565195915,0.10205528833619827,0.6258666551442104,0.0533955841252095,0.0439719681908548,29.25,0.3322,0.047659456674229196,-3.0900001525878906
2022-05-04,transition,0.6292099367201863,0.27353145485310665,0.09725860842670704,0.6292099367201863,0.0859615695326024,0.049273340143003,25.420000076293945,0.322,0.032565985407392896,-3.8299999237060547
2022-05-05,risk_off,0.503815883898271,0.30499526388803827,0.503815883898271,0.1911888522136906,0.0684485222998388,0.0044141747572815,31.200000762939453,0.3597,-0.01751304723276359,5.780000686645508
2022-05-06,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0514315542521994,0.0112969036697247,30.190000534057617,0.378,-0.017016968047639407,-1.010000228881836
2022-05-07,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.0480309152542372,0.0251204301075268,30.190000534057617,0.378,-0.0034006389979621965,0.0
2022-05-08,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,0.055917076598735,0.0191468957871396,30.190000534057617,0.378,0.007886161344497801,0.0
2022-05-09,transition,0.45383851764372474,0.31006032617640594,0.23610115617986932,0.45383851764372474,0.0141806012212306,0.0316868393782383,34.75,0.3564,-0.0417364753775044,4.559999465942383
2022-05-10,transition,0.6258666551442104,0.2720780565195915,0.10205528833619827,0.6258666551442104,0.0034534904401956,0.0302786597938144,32.9900016784668,0.3341,-0.010727110781035,-1.7599983215332031
2022-05-11,transition,0.6292099367201863,0.27353145485310665,0.09725860842670704,0.6292099367201863,-0.0481175491175491,0.0200563947633433,32.560001373291016,0.3204,-0.0515710395577447,-0.43000030517578125
2022-05-12,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0750960554951033,0.0527706751054852,31.770000457763672,0.3725,-0.026978506377554202,-0.7900009155273438
2022-05-13,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,-0.0366858965748824,0.0122340839303991,28.8700008392334,0.3825,0.0384101589202209,-2.8999996185302734
