,regime,regime_id
2014-03-19,normal,1
2014-03-20,normal,1
2014-03-21,normal,1
2014-03-24,elevated,2
2014-03-25,low_volatility,0
2014-03-26,low_volatility,0
2014-03-27,normal,1
2014-03-28,normal,1
2014-03-31,low_volatility,0
2014-04-01,normal,1
2014-04-02,normal,1
2014-04-03,normal,1
2014-04-04,elevated,2
2014-04-07,elevated,2
2014-04-08,normal,1
2014-04-09,normal,1
2014-04-10,normal,1
2014-04-11,low_volatility,0
2014-04-14,low_volatility,0
2014-04-15,elevated,2
2014-04-16,normal,1
2014-04-17,normal,1
2014-04-21,elevated,2
2014-04-22,elevated,2
2014-04-23,normal,1
2014-04-24,normal,1
2014-04-25,normal,1
2014-04-28,normal,1
2014-04-29,low_volatility,0
2014-04-30,normal,1
2014-05-01,normal,1
2014-05-02,normal,1
2014-05-05,normal,1
2014-05-06,low_volatility,0
2014-05-07,normal,1
2014-05-08,normal,1
2014-05-09,normal,1
2014-05-12,normal,1
2014-05-13,low_volatility,0
2014-05-14,normal,1
2014-05-15,normal,1
2014-05-16,normal,1
2014-05-19,normal,1
2014-05-20,normal,1
2014-05-21,normal,1
2014-05-22,normal,1
2014-05-23,low_volatility,0
2014-05-27,low_volatility,0
2014-05-28,normal,1
2014-05-29,normal,1
2014-05-30,normal,1
2014-06-02,normal,1
2014-06-03,normal,1
2014-06-04,low_volatility,0
2014-06-05,low_volatility,0
2014-06-06,normal,1
2014-06-09,normal,1
2014-06-10,normal,1
2014-06-11,elevated,2
2014-06-12,elevated,2
2014-06-13,elevated,2
2014-06-16,low_volatility,0
2014-06-17,normal,1
2014-06-18,low_volatility,0
2014-06-19,elevated,2
2014-06-20,normal,1
2014-06-23,elevated,2
2014-06-24,low_volatility,0
2014-06-25,normal,1
2014-06-26,low_volatility,0
2014-06-27,elevated,2
2014-06-30,low_volatility,0
2014-07-01,normal,1
2014-07-02,normal,1
2014-07-03,normal,1
2014-07-07,normal,1
2014-07-08,elevated,2
2014-07-09,normal,1
2014-07-10,elevated,2
2014-07-11,normal,1
2014-07-14,normal,1
2014-07-15,normal,1
2014-07-16,normal,1
2014-07-17,normal,1
2014-07-18,normal,1
2014-07-21,normal,1
2014-07-22,low_volatility,0
2014-07-23,normal,1
2014-07-24,normal,1
2014-07-25,elevated,2
2014-07-28,normal,1
2014-07-29,elevated,2
2014-07-30,normal,1
2014-07-31,elevated,2
2014-08-01,normal,1
