,regime,from_regime,to_regime
2016-08-08,normal,low_volatility,normal
2016-08-12,elevated,normal,elevated
2016-08-15,normal,elevated,normal
2016-09-01,low_volatility,normal,low_volatility
2016-09-02,normal,low_volatility,normal
2016-09-08,elevated,normal,elevated
2016-09-12,normal,elevated,normal
2016-09-13,elevated,normal,elevated
2016-09-14,normal,elevated,normal
2016-09-16,low_volatility,normal,low_volatility
2016-09-19,normal,low_volatility,normal
2016-09-22,low_volatility,normal,low_volatility
2016-09-23,elevated,low_volatility,elevated
2016-09-27,normal,elevated,normal
2016-10-03,low_volatility,normal,low_volatility
2016-10-04,normal,low_volatility,normal
2016-10-07,elevated,normal,elevated
2016-10-11,normal,elevated,normal
2016-10-14,low_volatility,normal,low_volatility
2016-10-17,normal,low_volatility,normal
2016-10-25,elevated,normal,elevated
2016-10-26,normal,elevated,normal
2016-11-01,low_volatility,normal,low_volatility
2016-11-02,normal,low_volatility,normal
2016-11-04,elevated,normal,elevated
2016-11-07,normal,elevated,normal
2016-11-11,low_volatility,normal,low_volatility
2016-11-15,normal,low_volatility,normal
2016-11-16,elevated,normal,elevated
2016-11-17,low_volatility,elevated,low_volatility
2016-11-18,normal,low_volatility,normal
2016-11-29,elevated,normal,elevated
2016-11-30,normal,elevated,normal
2016-12-09,elevated,normal,elevated
2016-12-12,normal,elevated,normal
2016-12-19,low_volatility,normal,low_volatility
2016-12-20,elevated,low_volatility,elevated
2016-12-21,normal,elevated,normal
2016-12-27,elevated,normal,elevated
2016-12-28,normal,elevated,normal
2016-12-30,low_volatility,normal,low_volatility
2017-01-03,normal,low_volatility,normal
2017-01-05,low_volatility,normal,low_volatility
2017-01-09,normal,low_volatility,normal
2017-01-12,elevated,normal,elevated
2017-01-13,normal,elevated,normal
2017-01-20,low_volatility,normal,low_volatility
2017-01-23,elevated,low_volatility,elevated
2017-01-25,normal,elevated,normal
2017-01-27,elevated,normal,elevated
2017-01-30,low_volatility,elevated,low_volatility
2017-01-31,normal,low_volatility,normal
2017-02-01,elevated,normal,elevated
2017-02-07,normal,elevated,normal
2017-02-09,low_volatility,normal,low_volatility
2017-02-10,normal,low_volatility,normal
2017-02-13,low_volatility,normal,low_volatility
2017-02-14,normal,low_volatility,normal
2017-02-21,low_volatility,normal,low_volatility
2017-02-22,normal,low_volatility,normal
2017-02-24,low_volatility,normal,low_volatility
2017-02-27,elevated,low_volatility,elevated
2017-02-28,normal,elevated,normal
2017-03-09,low_volatility,normal,low_volatility
2017-03-10,normal,low_volatility,normal
2017-03-14,elevated,normal,elevated
2017-03-15,normal,elevated,normal
2017-03-16,elevated,normal,elevated
2017-03-17,normal,elevated,normal
2017-03-21,elevated,normal,elevated
2017-03-23,normal,elevated,normal
2017-03-24,elevated,normal,elevated
2017-03-27,normal,elevated,normal
2017-03-28,low_volatility,normal,low_volatility
2017-03-31,elevated,low_volatility,elevated
2017-04-03,normal,elevated,normal
2017-04-05,elevated,normal,elevated
2017-04-07,normal,elevated,normal
2017-04-10,low_volatility,normal,low_volatility
2017-04-11,normal,low_volatility,normal
2017-04-18,elevated,normal,elevated
2017-04-20,normal,elevated,normal
2017-04-21,elevated,normal,elevated
2017-04-24,normal,elevated,normal
2017-04-27,elevated,normal,elevated
2017-04-28,low_volatility,elevated,low_volatility
2017-05-01,normal,low_volatility,normal
2017-05-04,low_volatility,normal,low_volatility
2017-05-05,normal,low_volatility,normal
2017-05-08,low_volatility,normal,low_volatility
2017-05-09,normal,low_volatility,normal
2017-05-15,elevated,normal,elevated
2017-05-16,normal,elevated,normal
2017-05-17,elevated,normal,elevated
2017-05-18,normal,elevated,normal
2017-05-24,low_volatility,normal,low_volatility
2017-05-25,normal,low_volatility,normal
2017-06-02,elevated,normal,elevated
2017-06-06,normal,elevated,normal
2017-06-19,low_volatility,normal,low_volatility
2017-06-20,normal,low_volatility,normal
2017-06-26,elevated,normal,elevated
2017-06-27,normal,elevated,normal
2017-06-28,elevated,normal,elevated
2017-06-29,normal,elevated,normal
2017-07-03,low_volatility,normal,low_volatility
2017-07-05,normal,low_volatility,normal
2017-07-07,low_volatility,normal,low_volatility
2017-07-10,normal,low_volatility,normal
2017-07-11,low_volatility,normal,low_volatility
2017-07-12,normal,low_volatility,normal
2017-07-17,elevated,normal,elevated
2017-07-19,low_volatility,elevated,low_volatility
2017-07-20,normal,low_volatility,normal
2017-07-25,low_volatility,normal,low_volatility
2017-07-26,normal,low_volatility,normal
2017-07-27,low_volatility,normal,low_volatility
2017-07-28,normal,low_volatility,normal
2017-08-01,elevated,normal,elevated
2017-08-02,normal,elevated,normal
2017-08-03,low_volatility,normal,low_volatility
2017-08-04,normal,low_volatility,normal
2017-08-08,low_volatility,normal,low_volatility
2017-08-09,normal,low_volatility,normal
2017-08-10,elevated,normal,elevated
2017-08-11,normal,elevated,normal
2017-08-21,elevated,normal,elevated
2017-08-22,normal,elevated,normal
2017-08-24,elevated,normal,elevated
2017-08-25,normal,elevated,normal
2017-08-31,low_volatility,normal,low_volatility
2017-09-01,elevated,low_volatility,elevated
2017-09-05,low_volatility,elevated,low_volatility
2017-09-06,normal,low_volatility,normal
2017-09-11,low_volatility,normal,low_volatility
2017-09-15,normal,low_volatility,normal
2017-09-18,elevated,normal,elevated
2017-09-19,low_volatility,elevated,low_volatility
2017-09-21,elevated,low_volatility,elevated
2017-09-22,normal,elevated,normal
2017-09-25,elevated,normal,elevated
2017-09-27,normal,elevated,normal
2017-09-28,low_volatility,normal,low_volatility
2017-10-03,normal,low_volatility,normal
2017-10-04,elevated,normal,elevated
2017-10-05,low_volatility,elevated,low_volatility
2017-10-06,normal,low_volatility,normal
2017-10-09,low_volatility,normal,low_volatility
2017-10-10,normal,low_volatility,normal
2017-10-11,low_volatility,normal,low_volatility
2017-10-12,normal,low_volatility,normal
