,compound,positive,negative,cross_asset_std,sent_crypto,sent_equities,sent_forex,sent_news,sent_social,returns,realized_vol,vix,vix_change,ciss,ciss_change,te_proxy,sent_momentum,sent_acceleration,sent_dispersion,max_divergence,garch_vol,long_run_vol,regime
2007-10-23,0.3460236,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.008104834364686564,0.1649532563500188,20.40999984741211,-0.05683916714085979,0.0824,0.003699999999999995,0.3171955113397531,0.48735516999999995,0.09300173999999994,0.27884998453717447,0.39435343,0.012315305219581412,0.008645789539509124,low_volatility
2007-10-24,-0.4816798,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.0018456809082493253,0.16493787466380755,20.799999237060547,0.019108250493097723,0.0922,0.009800000000000003,0.19629506307606756,0.025596199999999958,0.8962935499999999,0.6156760005461567,0.8706973499999999,0.011714501076287496,0.008645789539509124,low_volatility
2007-10-25,0.10362478,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.002377033799439321,0.1607247769420314,21.170000076293945,0.017788502538699458,0.1014,0.0092,0.24175003290543082,0.162228566,-0.003060798000000031,0.11687723014241162,0.16528936400000002,0.010863784185526882,0.008645789539509124,normal
2007-10-26,0.15000519,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.011722581544159727,0.16496506795736285,19.559999465942383,-0.07605104414498476,0.0991,-0.0023000000000000104,0.14176326434602515,0.65986179,1.25682815,0.42211896129624976,0.59696636,0.010051125830426489,0.008645789539509124,low_volatility
2007-10-29,0.14557995,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.003319985778375667,0.16351096755974284,19.8700008392334,0.015848741398525323,0.1033,0.004200000000000009,0.2261683207360416,0.06373179000000001,-0.04271344899999999,0.07526815032192276,0.106445239,0.010265951486289678,0.008645789539509124,normal
2007-10-30,-0.71659976,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.006942449331278744,0.1321648700437636,21.06999969482422,0.06039249143972936,0.0946,-0.0087,0.27906795395751033,-1.06262336,-1.5499785299999997,0.3446121455533226,0.48735516999999984,0.009541234520895678,0.008645789539509124,elevated
2007-10-31,-0.022191912,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.010387879981025527,0.13547731882258393,18.530000686645508,-0.12055050047308036,0.1038,0.0092,0.26993912788126495,0.459487888,0.43389168800000005,0.018099246592607077,0.025596199999999958,0.009389400255217952,0.008645789539509124,normal
2007-11-01,-0.50590813,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.023407080386130485,0.1564501331642444,23.209999084472656,0.252563314862692,0.1155,0.011700000000000002,0.3710323285056031,-0.60953291,-0.771761476,0.1147129191207694,0.16222856600000002,0.009498553968114965,0.008645789539509124,elevated
2007-11-02,0.26692453,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.0011253128047965522,0.15662066691692578,23.01000022888184,-0.008616926474788844,0.1204,0.004899999999999988,0.25897340118987894,0.11691933999999998,-0.54294245,0.4665927463548935,0.6598617899999999,0.01317949209696918,0.008645789539509124,low_volatility
2007-11-05,-0.48304352,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.007605770138669032,0.15817528573320908,24.309999465942383,0.05649714142239781,0.1198,-0.0005999999999999894,0.3250752620306465,-0.62862347,-0.69235526,0.04506518088615705,0.06373179000000007,0.01213737521632525,0.008645789539509124,elevated
2007-11-06,0.35019758,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.013462130778387538,0.16425076774830774,21.38999938964844,-0.12011518471585236,0.115,-0.004799999999999999,0.29223653675597244,1.06679734,2.1294207,0.7513881837032338,1.06262336,0.011707296498504305,0.008645789539509124,low_volatility
2007-11-07,-0.1685096,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.027356105004852416,0.18035274541600427,26.489999771118164,0.23842919714798305,0.1159,0.000899999999999998,0.2045136678368329,-0.146317688,-0.6058055760000001,0.3249070014778849,0.45948788800000007,0.011923234100967895,0.008645789539509124,elevated
