date,compound_mean,compound_std,compound_median,volume,pct_positive,pct_negative,pct_neutral,positive_mean,negative_mean,neutral_mean,reliability
2008-08-08,-0.8677125200629234,,-0.8677125200629234,1,0.0,1.0,0.0,0.019569851458072662,0.8872823715209961,0.09314776957035065,very_low
2008-08-11,-0.5785399936139584,,-0.5785399936139584,1,0.0,1.0,0.0,0.05822804942727089,0.6367680430412292,0.3050038516521454,very_low
2008-08-12,-0.9287529811263084,,-0.9287529811263084,1,0.0,1.0,0.0,0.010862506926059723,0.9396154880523682,0.049521975219249725,very_low
2008-08-13,-0.8682872112840414,,-0.8682872112840414,1,0.0,1.0,0.0,0.014283055439591408,0.8825702667236328,0.10314665734767914,very_low
2008-08-14,-0.901246540248394,,-0.901246540248394,1,0.0,1.0,0.0,0.01681656390428543,0.9180631041526794,0.06512027978897095,very_low
2008-08-15,-0.8839502995833755,,-0.8839502995833755,1,0.0,1.0,0.0,0.014998787082731724,0.8989490866661072,0.08605216443538666,very_low
2008-08-18,-0.8605704428628087,,-0.8605704428628087,1,0.0,1.0,0.0,0.013467597775161266,0.87403804063797,0.11249431222677231,very_low
2008-08-19,-0.8754799608141184,,-0.8754799608141184,1,0.0,1.0,0.0,0.014281725510954857,0.8897616863250732,0.09595661610364914,very_low
2008-08-20,-0.19940032064914703,,-0.19940032064914703,1,0.0,0.0,1.0,0.045876890420913696,0.24527721107006073,0.7088459134101868,very_low
2008-08-21,-0.632613867521286,,-0.632613867521286,1,0.0,1.0,0.0,0.02915927767753601,0.661773145198822,0.30906757712364197,very_low
2008-08-22,0.24390162527561188,,0.24390162527561188,1,0.0,0.0,1.0,0.3256189823150635,0.0817173570394516,0.5926636457443237,very_low
2008-08-25,-0.7082616873085499,,-0.7082616873085499,1,0.0,1.0,0.0,0.019668977707624435,0.7279306650161743,0.25240036845207214,very_low
2008-08-26,-0.8595696855336428,,-0.8595696855336428,1,0.0,1.0,0.0,0.014864666387438774,0.8744343519210815,0.11070095002651215,very_low
2008-08-27,-0.7529758177697659,,-0.7529758177697659,1,0.0,1.0,0.0,0.017715338617563248,0.7706911563873291,0.21159352362155914,very_low
2008-08-28,-0.8757846103981137,,-0.8757846103981137,1,0.0,1.0,0.0,0.015386606566607952,0.8911712169647217,0.09344220161437988,very_low
2008-08-29,-0.9182175155729055,,-0.9182175155729055,1,0.0,1.0,0.0,0.013635838404297829,0.9318533539772034,0.054510876536369324,very_low
2008-09-02,-0.8867408577352762,,-0.8867408577352762,1,0.0,1.0,0.0,0.010972803458571434,0.8977136611938477,0.09131357073783875,very_low
2008-09-03,0.07459982484579086,,0.07459982484579086,1,0.0,0.0,1.0,0.09401290863752365,0.019413083791732788,0.8865739703178406,very_low
2008-09-04,-0.537201777100563,,-0.537201777100563,1,0.0,1.0,0.0,0.0654640644788742,0.6026658415794373,0.3318701386451721,very_low
2008-09-05,-0.8074544873088598,,-0.8074544873088598,1,0.0,1.0,0.0,0.020024994388222694,0.8274794816970825,0.15249550342559814,very_low
2008-09-08,-0.8482501823455095,,-0.8482501823455095,1,0.0,1.0,0.0,0.021413473412394524,0.869663655757904,0.1089228168129921,very_low
2008-09-09,-0.1453142762184143,,-0.1453142762184143,1,0.0,0.0,1.0,0.0364050418138504,0.1817193180322647,0.7818756699562073,very_low
2008-09-10,-0.8019864745438099,,-0.8019864745438099,1,0.0,1.0,0.0,0.019586961716413498,0.8215734362602234,0.1588396281003952,very_low
2008-09-11,-0.8954319320619106,,-0.8954319320619106,1,0.0,1.0,0.0,0.01509052887558937,0.9105224609375,0.07438698410987854,very_low
2008-09-12,-0.8948705531656742,,-0.8948705531656742,1,0.0,1.0,0.0,0.011885013431310654,0.9067555665969849,0.08135940879583359,very_low
2008-09-15,-0.2887037731707096,,-0.2887037731707096,1,0.0,0.0,1.0,0.055635567754507065,0.3443393409252167,0.6000251173973083,very_low
2008-09-16,-0.8786841090768576,,-0.8786841090768576,1,0.0,1.0,0.0,0.01924198307096958,0.8979260921478271,0.08283185958862305,very_low
2008-09-17,-0.9568205792456865,,-0.9568205792456865,1,0.0,1.0,0.0,0.010585932061076164,0.9674065113067627,0.022007539868354797,very_low
2008-09-18,-0.9293854748830199,,-0.9293854748830199,1,0.0,1.0,0.0,0.012284704484045506,0.9416701793670654,0.04604510962963104,very_low
2008-09-19,-0.9011383671313524,,-0.9011383671313524,1,0.0,1.0,0.0,0.011261401697993279,0.9123997688293457,0.07633879780769348,very_low
2008-09-22,-0.38115109503269196,,-0.38115109503269196,1,0.0,1.0,0.0,0.21832643449306488,0.5994775295257568,0.18219605088233948,very_low
2008-09-23,-0.6368015073239803,,-0.6368015073239803,1,0.0,1.0,0.0,0.051293227821588516,0.6880947351455688,0.26061198115348816,very_low
2008-09-24,-0.856564805842936,,-0.856564805842936,1,0.0,1.0,0.0,0.015214039944112301,0.8717788457870483,0.11300710588693619,very_low
2008-09-25,-0.08335323259234428,,-0.08335323259234428,1,0.0,0.0,1.0,0.06245141103863716,0.14580464363098145,0.7917439341545105,very_low
