Date,Close,High,Low,Open,Volume
1993-01-29,24.24140167236328,24.258643067578333,24.13795330107297,24.258643067578333,1003200
1993-02-01,24.41382598876953,24.413825988769528,24.258653365959553,24.258653365959553,480500
1993-02-02,24.465543746948242,24.482785144937637,24.344853961022494,24.396578154990674,201300
1993-02-03,24.72416114807129,24.74140254357204,24.482781611060833,24.50002300656158,529400
1993-02-04,24.827613830566406,24.879338026046753,24.534510056177776,24.81037243207296,531500
1993-02-05,24.81036949157715,24.862093680927202,24.672438319976997,24.81036949157715,492100
1993-02-08,24.81036949157715,24.896576473827242,24.77588669867711,24.81036949157715,596100
1993-02-09,24.63795280456543,24.72415977728959,24.58622862093093,24.72415977728959,122100
1993-02-10,24.67243766784668,24.689679063840984,24.568989291880865,24.637954875858075,379600
1993-02-11,24.793121337890625,24.896569688396426,24.70691437913579,24.70691437913579,19500
1993-02-12,24.603477478027344,24.758650075996684,24.603477478027347,24.758650075996684,42500
1993-02-16,23.982791900634766,24.53451680417201,23.948309094163687,24.53451680417201,374800
1993-02-17,23.965538024902344,24.017262207689903,23.87933105358975,23.982779419164864,210900
1993-02-18,23.94830894470215,24.241412797877047,23.620722285271377,24.241412797877047,378100
1993-02-19,24.03450584411621,24.03450584411621,23.9138160730195,23.94829886476142,34900
1993-02-22,24.12071418762207,24.15519698131417,24.03450720339183,24.103472790776024,513600
1993-02-23,24.103458404541016,24.20690672387381,23.98276869865276,24.189665337318345,373700
1993-02-24,24.41382598876953,24.413825988769528,24.12072214568402,24.12072214568402,26300
1993-02-25,24.465543746948242,24.482785144937637,24.344853961022494,24.396578154990674,44500
1993-02-26,24.50002098083496,24.517262374910146,24.379331222308682,24.517262374910146,66200
1993-03-01,24.431072235107422,24.586244888682558,24.39658942320184,24.586244888682558,66500
1993-03-02,24.793121337890625,24.793121337890625,24.413810719369348,24.448293502871284,182400
1993-03-03,24.89657211303711,24.91381350646719,24.793123752456623,24.827606539316783,280100
1993-03-04,24.758644104003906,24.931058060159923,24.75864410400391,24.931058060159923,89500
1993-03-05,24.68967056274414,24.89656724343753,24.67242917268636,24.793118903090836,40000
1993-03-08,25.24140167236328,25.24140167236328,24.741401229399802,24.741401229399802,50800
1993-03-09,25.155202865600586,25.20692706614671,25.103478665054457,25.18968566596467,169300
1993-03-10,25.20691680908203,25.20691680908203,25.05174427058563,25.15519262958323,194400
1993-03-11,25.13795280456543,25.293125352741757,25.1034700160818,25.2241597757745,70900
1993-03-12,24.879350662231445,24.948316291232782,24.724177996978444,24.931074883982447,643600
1993-03-15,25.000022888183594,25.00002288818359,24.8620917274212,24.8620917274212,310800
1993-03-16,25.000022888183594,25.068988468564786,25.00002288818359,25.00002288818359,30800
1993-03-17,24.844860076904297,24.965549889907994,24.810377273188955,24.965549889907994,21800
1993-03-18,25.000022888183594,25.103471258755384,24.948298702897695,24.948298702897695,59300
1993-03-19,24.96219253540039,25.10077514489602,24.96219253540039,25.10077514489602,66900
1993-03-22,24.823604583740234,24.875573051117218,24.702344826527266,24.71966764898626,183400
1993-03-23,24.875587463378906,24.910233128369686,24.84094179838813,24.892910295874298,55200
1993-03-24,24.875587463378906,24.979524458351243,24.719681970920405,24.84094179838813,37200
1993-03-25,25.031503677368164,25.083472197113565,24.858275278216826,24.892920958047092,110100
1993-03-26,24.892915725708008,25.03149841589984,24.875592889434028,25.014175579625864,101500
1993-03-29,24.996843338012695,25.118103146305202,24.910229189232332,24.910229189232332,87100
1993-03-30,25.066129684448242,25.066129684448242,24.996838379169876,25.031484031809057,56000
1993-03-31,25.048809051513672,25.204714502041764,25.048809051513672,25.135423190695946,111600
1993-04-01,24.96219253540039,25.083452318709067,24.910224056839528,25.083452318709067,129500
1993-04-02,24.442502975463867,24.75431378592336,24.442502975463864,24.75431378592336,59400
1993-04-05,24.563756942749023,24.63304821762279,24.49446566787526,24.63304821762279,172200
1993-04-06,24.494474411010742,24.615734185322676,24.42518311140392,24.615734185322676,129700
1993-04-07,24.581104278564453,24.581104278564457,24.47716726258744,24.529135770575948,28000
1993-04-08,24.546463012695312,24.68504572554045,24.442525978061457,24.68504572554045,180800
1993-04-12,24.892915725708008,24.910238561981988,24.754333035516176,24.788978708064132,348500
1993-04-13,24.94486427307129,25.031478385130566,24.858250161012013,24.87557298342387,146100
1993-04-14,24.91021156311035,24.979502833105098,24.892888745611668,24.96218001560641,119600
1993-04-15,24.91021156311035,24.96218001560641,24.806274658118237,24.892888745611668,148600
1993-04-16,24.91021156311035,24.96218001560641,24.87556592811298,24.92753438060904,47900
1993-04-19,24.806276321411133,24.979504508013168,24.788953502750932,24.910213233372353,157000
1993-04-20,24.68502426147461,24.806284029776588,24.529118845086348,24.77163838169031,279500
1993-04-21,24.667705535888672,24.736996843573753,24.598414228203595,24.736996843573753,67900
1993-04-22,24.355884552001953,24.771632225720335,24.355884552001953,24.563758388861142,97700
1993-04-23,24.251943588256836,24.37320330619812,24.217297954559328,24.3039120388031,106000
1993-04-26,24.061403274536133,24.355891291575094,23.99211197640932,24.269277168916577,62600
1993-04-27,24.321237564086914,24.321237564086914,24.02674964486364,24.02674964486364,156800
1993-04-28,24.269296646118164,24.3385879998544,24.23465096925004,24.286619484552222,85900
1993-04-29,24.373214721679688,24.373214721679684,24.182663647096547,24.321246246793375,85000
1993-04-30,24.407875061035156,24.546457744135427,24.407875061035156,24.45984356719776,88500
1993-05-03,24.563756942749023,24.563756942749023,24.338560299409295,24.44249721171994,80500
1993-05-04,24.650386810302734,24.73700095931996,24.581095491088952,24.615741150695843,149100
1993-05-05,24.719688415527344,24.806302600585255,24.650397067481016,24.650397067481016,109000
1993-05-06,24.633056640625,24.70234793919216,24.615733815983212,24.68502511455037,54700
1993-05-07,24.581104278564453,24.650395622549134,24.546458606572116,24.650395622549134,68000
1993-05-10,24.633056640625,24.771639237759317,24.615733815983212,24.615733815983212,113900
1993-05-11,24.736988067626953,24.736988067626953,24.563759859870462,24.63305114297306,42600
1993-05-12,24.70234489440918,24.71966771691578,24.633053604382788,24.633053604382788,31000
1993-05-13,24.407875061035156,24.59842625029803,24.39055222564762,24.59842625029803,129100
1993-05-14,24.390546798706055,24.477160956371915,24.373223967172883,24.407869630239226,63500
1993-05-17,24.47715950012207,24.47715950012207,24.35589968660413,24.45983666961951,34000
1993-05-18,24.459835052490234,24.511803540562095,24.373220905703796,24.494480711204808,105200
1993-05-19,24.96219253540039,24.96219253540039,24.303925140296148,24.45983057597873,50200
1993-05-20,25.031503677368164,25.031503677368164,24.910243797962227,24.96221231770763,98200
1993-05-21,24.806276321411133,25.083441419974385,24.788953502750932,25.04879578265398,221400
1993-05-24,24.91021156311035,24.996825650603782,24.858243110614296,24.858243110614296,30500
1993-05-25,24.96219253540039,25.01416101396125,24.96219253540039,25.01416101396125,191800
1993-05-26,25.274005889892578,25.29132871778147,25.014163471559208,25.031486299448098,102400
1993-05-27,25.18739128112793,25.308651074090715,25.152745625995703,25.308651074090715,53800
1993-05-28,25.066129684448242,25.170066642365786,24.944869900211103,25.170066642365786,79100
1993-06-01,25.308656692504883,25.39527084956342,25.1181055469761,25.152751209799515,28300
1993-06-02,25.274005889892578,25.360620029337035,25.135423266781448,25.239360234114795,20300
1993-06-03,25.18739128112793,25.222036936260153,25.13542279842959,25.222036936260153,21600
1993-06-04,25.100788116455078,25.11811095159411,24.996851105620898,25.11811095159411,32000
1993-06-07,25.014158248901367,25.152740843078107,25.014158248901367,25.152740843078107,121400
1993-06-08,24.788957595825195,24.944862989509634,24.7889575958252,24.944862989509634,104500
1993-06-09,24.875587463378906,24.979524458351243,24.84094179838813,24.87558746337891,43300
1993-06-10,24.892915725708008,24.910238561981988,24.806301544338112,24.858270053160048,17900
1993-06-11,24.996843338012695,25.03148899752484,24.89290635947626,24.979520508256623,647400
1993-06-14,24.96219253540039,25.048806666335157,24.96219253540039,25.031483840148205,64200
1993-06-15,24.91021156311035,25.01414846810247,24.91021156311035,24.996825650603782,142400
1993-06-16,24.96219253540039,24.96219253540039,24.840932752091714,24.910224056839528,330900
1993-06-17,25.048809051513672,25.048809051513672,24.962194912331398,25.01416339584076,37400
1993-06-18,24.842531204223633,25.03443277953716,24.842531204223633,25.03443277953716,58500
1993-06-21,24.894882202148438,24.91232780985842,24.859990986728466,24.91232780985842,29300
1993-06-22,24.912307739257812,24.929753332912757,24.877416551947928,24.929753332912757,137500
1993-06-23,24.68552017211914,24.912312936951327,24.685520172119137,24.912312936951327,227600
1993-06-24,25.016983032226562,25.01698303222656,24.75529910929532,24.75529910929532,243700
1993-06-25,24.99953269958496,25.069315065808507,24.982087108029074,24.99953269958496,44800
1993-06-28,25.278684616088867,25.278684616088867,25.086782938534018,25.121674152634903,439900
1993-06-29,25.15655517578125,25.24378317569727,25.12166397581484,25.24378317569727,207500
1993-06-30,25.15655517578125,25.24378317569727,25.12166397581484,25.19144637574766,437600
1993-07-01,25.08675765991211,25.191431196740673,25.051866480969256,25.191431196740673,605700
1993-07-02,24.947202682495117,25.016985067620976,24.85997470108779,24.99953947133951,285400
1993-07-06,24.68552017211914,24.982095326130462,24.65062897752957,24.912312936951327,246400
1993-07-07,24.75531005859375,24.790201263750333,24.668082045702302,24.668082045702302,343700
1993-07-08,25.034427642822266,25.086764425350815,24.73785254182716,24.772743730179524,248200
1993-07-09,25.10421371459961,25.104213714599613,24.982094537391692,25.034431327623658,378200
1993-07-12,25.08675765991211,25.104203249383538,25.034420891497827,25.06931207044068,373700
1993-07-13,25.0693416595459,25.174015319919786,24.929776779047383,25.104232879670526,389600
1993-07-14,25.15655517578125,25.22633757571407,25.069327175865226,25.08677277584843,617300
1993-07-15,25.05188751220703,25.139115532792708,24.99955069985562,25.139115532792708,443800
1993-07-16,24.982080459594727,25.086753981073475,24.947189285768474,25.06930839416035,216400
1993-07-19,24.96463966369629,24.982085253957433,24.894857302651715,24.982085253957433,188200
1993-07-20,25.034427642822266,25.034427642822266,24.825080512708073,24.947199671941352,68500
1993-07-21,25.016983032226562,25.01698303222656,24.929755057916147,24.999537437364477,142700
1993-07-22,24.842531204223633,25.01698718178138,24.842531204223633,24.982095986269833,632400
1993-07-23,24.96463966369629,24.96463966369629,24.877411712390572,24.894857302651715,286200
1993-07-26,25.10421371459961,25.15655050483158,25.034431327623658,25.034431327623658,121300
1993-07-27,25.08675765991211,25.13909442832639,24.999529712554974,25.121648838854963,92800
1993-07-28,25.034427642822266,25.086764425350815,24.9995364544699,25.034427642822266,30800
1993-07-29,25.173995971679688,25.243778358295568,25.051876795101894,25.086767988409832,331000
1993-07-30,25.034427642822266,25.17399239623173,24.9995364544699,25.17399239623173,75300
1993-08-02,25.10421371459961,25.191441698319554,25.069322521111634,25.069322521111634,41300
1993-08-03,25.121654510498047,25.226328070958456,25.034426543447708,25.156545697318187,81600
1993-08-04,25.121654510498047,25.173991290728253,25.051872136857778,25.12165451049805,434000
1993-08-05,25.0693416595459,25.12167848973284,25.03445043942127,25.12167848973284,36800
1993-08-06,25.10421371459961,25.15655050483158,25.069322521111634,25.13910490808759,402300
1993-08-09,25.243778228759766,25.313560615017565,25.12165905280861,25.173995842501963,828200
1993-08-10,25.226335525512695,25.243781124078055,25.191444328381973,25.226335525512695,604900
1993-08-11,25.226335525512695,25.29611791977414,25.208889926947332,25.208889926947332,542200
1993-08-12,25.15655517578125,25.296119975646885,25.069327175865226,25.296119975646885,303700
1993-08-13,25.191436767578125,25.208882360907474,25.173991174248776,25.173991174248776,103500
1993-08-16,25.33101463317871,25.4007970426365,25.20889541662757,25.20889541662757,241800
1993-08-17,25.41823387145996,25.41823387145996,25.31356029340316,25.31356029340316,369300
1993-08-18,25.557790756225586,25.610127529105227,25.48800839238606,25.505453983345944,414300
1993-08-19,25.557790756225586,25.575236347185466,25.522899574305825,25.575236347185466,28500
1993-08-20,25.575241088867188,25.575241088867188,25.48801311789561,25.505458712089926,80700
1993-08-23,25.522912979125977,25.540358579248412,25.470576178758662,25.470576178758662,15600
1993-08-24,25.80203628540039,25.802036285400387,25.522906751548863,25.522906751548863,273400
1993-08-25,25.81948471069336,25.924158297358332,25.767147917360873,25.802039112915864,242300
1993-08-26,25.836923599243164,25.97648834522152,25.732250039759396,25.836923599243164,120000
1993-08-27,25.81948471069336,25.81948471069336,25.767147917360873,25.767147917360873,25700
1993-08-30,25.924148559570312,25.95903974201926,25.836920603447933,25.836920603447933,183500
1993-08-31,25.993947982788086,25.993947982788082,25.871828764076998,25.906719969423023,66500
1993-09-01,25.95905876159668,26.011395573616028,25.90672194957733,25.90672194957733,136500
1993-09-02,25.871822357177734,26.011387144,25.85437675882495,25.976495947294435,472400
1993-09-03,25.88925552368164,25.924146703632694,25.819473163779534,25.854364343730587,630500
1993-09-07,25.714807510375977,25.92415465428677,25.679916319724175,25.889263463634972,196400
1993-09-08,25.627592086791992,25.71482010614799,25.453136048079998,25.71482010614799,269900
1993-09-09,25.67991828918457,25.697363885848418,25.522907919209935,25.522907919209935,239200
1993-09-10,25.906723022460938,25.924168627189864,25.714821370442706,25.749712579900567,106500
1993-09-13,25.924148559570312,25.993930924468213,25.92414855957031,25.993930924468213,66900
1993-09-14,25.81948471069336,25.85437590624835,25.732256721805882,25.85437590624835,184500
1993-09-15,25.88925552368164,25.906701113657167,25.627571674048742,25.714799623926375,101000
1993-09-16,25.78459930419922,25.8718273126708,25.767153702504903,25.854381710976483,54300
1993-09-17,25.734590530395508,25.787253403240793,25.69948194849865,25.769699112292365,200900
1993-09-20,25.52393913269043,25.822362079908956,25.52393913269043,25.769699206870392,57800
1993-09-21,25.436176300048828,25.59416497271994,25.172861845596977,25.559056378793027,318200
