date,predicted_state,confidence,vix,routing,ground_truth
2020-02-01,risk_on,0.8814034414639098,0.0,ml,risk_on
2020-02-02,risk_on,0.8814034414639098,0.0,ml,risk_on
2020-02-03,risk_on,0.8814034414639098,17.969999313354492,ml,risk_on
2020-02-04,risk_on,0.8814034414639098,16.049999237060547,ml,risk_on
2020-02-05,risk_on,0.8814034414639098,15.149999618530272,ml,risk_on
2020-02-06,risk_on,0.8814034414639098,14.960000038146973,ml,risk_on
2020-02-07,risk_on,0.8814034414639098,15.470000267028809,ml,risk_on
2020-02-08,risk_on,0.8814034414639098,15.470000267028809,ml,risk_on
2020-02-09,risk_on,0.8814034414639098,15.470000267028809,ml,risk_on
2020-02-10,risk_on,0.8814034414639098,15.039999961853027,ml,risk_on
2020-02-11,risk_on,0.8814034414639098,15.18000030517578,ml,risk_on
2020-02-12,risk_on,0.8814034414639098,13.739999771118164,ml,risk_on
2020-02-13,risk_on,0.8814034414639098,14.149999618530272,ml,risk_on
2020-02-14,risk_on,0.8814034414639098,13.68000030517578,ml,risk_on
2020-02-15,risk_on,0.8814034414639098,13.68000030517578,ml,risk_on
2020-02-16,risk_on,0.8814034414639098,13.68000030517578,ml,risk_on
2020-02-17,risk_on,0.8814034414639098,13.68000030517578,ml,risk_on
2020-02-18,risk_on,0.8814034414639098,14.829999923706056,ml,risk_on
2020-02-19,risk_on,0.8814034414639098,14.380000114440918,ml,risk_on
2020-02-20,risk_on,0.8814034414639098,15.5600004196167,ml,risk_on
2020-02-21,risk_on,0.8814034414639098,17.079999923706055,ml,risk_on
2020-02-22,risk_on,0.8814034414639098,17.079999923706055,ml,risk_on
2020-02-23,risk_on,0.8814034414639098,17.079999923706055,ml,risk_on
2020-02-24,risk_on,0.8814034414639098,25.030000686645508,ml,transition
2020-02-25,risk_on,0.8814034414639098,27.850000381469727,ml,transition
2020-02-26,risk_on,0.8814034414639098,27.559999465942383,ml,transition
2020-02-27,risk_on,0.8814034414639098,39.15999984741211,ml,risk_off
2020-02-28,transition,0.587858934477155,40.11000061035156,ml,risk_off
2020-02-29,transition,0.587858934477155,40.11000061035156,ml,risk_off
2020-03-01,transition,0.587858934477155,40.11000061035156,ml,risk_off
2020-03-02,transition,0.6584494254213507,33.41999816894531,ml,risk_off
2020-03-03,transition,0.6584494254213507,36.81999969482422,ml,risk_off
2020-03-04,transition,0.6584494254213507,31.989999771118164,ml,risk_off
2020-03-05,transition,0.5897730568201389,39.619998931884766,ml,risk_off
2020-03-06,transition,0.5897730568201389,41.939998626708984,ml,risk_off
2020-03-07,transition,0.5897730568201389,41.939998626708984,ml,risk_off
2020-03-08,transition,0.5897730568201389,41.939998626708984,ml,risk_off
2020-03-09,risk_off,0.6243906352186795,54.459999084472656,ml,risk_off
2020-03-10,risk_off,0.6243906352186795,47.29999923706055,ml,risk_off
2020-03-11,risk_off,0.6243906352186795,53.900001525878906,ml,risk_off
2020-03-12,risk_off,0.6243906352186795,75.47000122070312,ml,risk_off
2020-03-13,risk_off,0.6243906352186795,57.83000183105469,ml,risk_off
2020-03-14,risk_off,0.6243906352186795,57.83000183105469,ml,risk_off
2020-03-15,risk_off,0.6243906352186795,57.83000183105469,ml,risk_off
2020-03-16,risk_off,0.6243906352186795,82.69000244140625,ml,risk_off
2020-03-17,risk_off,0.6243906352186795,75.91000366210938,ml,risk_off
2020-03-18,risk_off,0.6243906352186795,76.44999694824219,ml,risk_off
2020-03-19,risk_off,0.6243906352186795,72.0,ml,risk_off
2020-03-20,risk_off,0.6243906352186795,66.04000091552734,ml,risk_off
2020-03-21,risk_off,0.6243906352186795,66.04000091552734,ml,risk_off
2020-03-22,risk_off,0.6243906352186795,66.04000091552734,ml,risk_off
2020-03-23,risk_off,0.6243906352186795,61.59000015258789,ml,risk_off
2020-03-24,risk_off,0.6243906352186795,61.66999816894531,ml,risk_off
2020-03-25,risk_off,0.6243906352186795,63.95000076293945,ml,risk_off
2020-03-26,risk_off,0.6243906352186795,61.0,ml,risk_off
2020-03-27,risk_off,0.6243906352186795,65.54000091552734,ml,risk_off
2020-03-28,risk_off,0.6243906352186795,65.54000091552734,ml,risk_off
2020-03-29,risk_off,0.6243906352186795,65.54000091552734,ml,risk_off
2020-03-30,risk_off,0.6243906352186795,57.08000183105469,ml,risk_off
2020-03-31,risk_off,0.6243906352186795,53.540000915527344,ml,risk_off
