date,predicted_state,confidence,vix,routing,ground_truth
2022-11-01,risk_off,0.45463438113120774,25.809999465942383,ensemble,transition
2022-11-02,risk_off,0.45463438113120774,25.86000061035156,ensemble,transition
2022-11-03,risk_off,0.45463438113120774,25.299999237060547,ensemble,transition
2022-11-04,risk_off,0.45463438113120774,24.549999237060547,ensemble,transition
2022-11-05,risk_off,0.45463438113120774,24.549999237060547,ensemble,transition
2022-11-06,risk_off,0.45463438113120774,24.549999237060547,ensemble,transition
2022-11-07,risk_off,0.45463438113120774,24.350000381469727,ensemble,transition
2022-11-08,risk_off,0.45463438113120774,25.540000915527344,ensemble,transition
2022-11-09,risk_off,0.45463438113120774,26.09000015258789,ensemble,transition
2022-11-10,risk_off,0.45463438113120774,23.530000686645508,ensemble,transition
2022-11-11,risk_off,0.45463438113120774,22.520000457763672,ensemble,transition
2022-11-12,risk_off,0.45463438113120774,22.520000457763672,ensemble,transition
2022-11-13,risk_off,0.45463438113120774,22.520000457763672,ensemble,transition
2022-11-14,risk_off,0.45463438113120774,23.729999542236328,ensemble,transition
2022-11-15,risk_off,0.45463438113120774,24.540000915527344,ensemble,transition
2022-11-16,risk_off,0.45463438113120774,24.11000061035156,ensemble,transition
2022-11-17,risk_off,0.45463438113120774,23.93000030517578,ensemble,transition
2022-11-18,risk_off,0.45463438113120774,23.1200008392334,ensemble,transition
2022-11-19,risk_off,0.45463438113120774,23.1200008392334,ensemble,transition
2022-11-20,risk_off,0.45463438113120774,23.1200008392334,ensemble,transition
2022-11-21,risk_off,0.45463438113120774,22.36000061035156,ensemble,transition
2022-11-22,risk_off,0.45463438113120774,21.290000915527344,ensemble,transition
2022-11-23,risk_off,0.45463438113120774,20.350000381469727,ensemble,transition
2022-11-24,risk_off,0.45463438113120774,20.350000381469727,ensemble,transition
2022-11-25,transition,0.6,20.5,ensemble,transition
2022-11-26,transition,0.6,20.5,ensemble,transition
2022-11-27,transition,0.6,20.5,ensemble,transition
2022-11-28,transition,0.6,22.209999084472656,ensemble,transition
2022-11-29,transition,0.6292099367201863,21.88999938964844,ensemble,transition
2022-11-30,transition,0.6584494254213507,20.579999923706055,ensemble,transition
