date,avg_sentiment,text_count,sentiment_volatility,sentiment_zscore,predicted_regime,vix_regime,vix_value,correct
2008-09-01,-0.03240868759651979,24,0.0,0.0,low_volatility,unknown,,False
2008-09-02,-0.11222472507530272,26,0.05643846134868704,0.0,normal,normal,21.989999771118164,True
2008-09-03,0.10729858780709597,26,0.111114961142638,1.077654423826482,low_volatility,normal,21.43000030517578,False
2008-09-04,-0.08631691720308596,26,0.09795555244037363,-0.5656032793021887,normal,normal,24.030000686645508,True
2008-09-05,-0.043013244867258396,26,0.08500441863631977,-0.1138793445745436,low_volatility,normal,23.059999465942383,False
2008-09-06,-0.0619567284360528,25,0.08594598745416039,-0.3100905721090087,normal,unknown,,False
2008-09-07,-0.11075752161443234,25,0.08563646120373515,-0.825933670115881,normal,unknown,,False
2008-09-08,-0.1686513890309985,26,0.04883389652643521,-1.286700059745597,elevated,normal,22.639999389648438,False
2008-09-09,-0.19007403425012642,26,0.06428102849878264,-1.2885754289858418,elevated,elevated,25.469999313354492,True
2008-09-10,-0.16369756316704207,26,0.05203611962931322,-0.8940188053593913,normal,normal,24.520000457763672,True
2008-09-11,-0.11905083815888719,26,0.034052359381906865,-0.3606716693784658,normal,normal,24.389999389648438,True
2008-09-12,-0.2937855289505138,25,0.06501797656939558,-1.901558254538396,high_volatility,elevated,25.65999984741211,False
2008-09-13,-0.16967488251626492,25,0.06494713541333799,-0.6097349559603582,normal,unknown,,False
2008-09-14,-0.2752184278354881,25,0.07607883817392055,-1.4913166123247337,high_volatility,unknown,,False
2008-09-15,-0.09774661572793356,26,0.08942203221410992,0.2998725477752921,normal,elevated,31.700000762939453,False
2008-09-16,-0.15676361616002762,26,0.08320007783856104,-0.2625543003554454,normal,elevated,30.299999237060547,False
2008-09-17,-0.2741680503820262,26,0.0778841634628852,-1.464150691894704,high_volatility,high_volatility,36.220001220703125,True
2008-09-18,-0.1099122901674705,26,0.08676674023242119,0.637105383859024,normal,elevated,33.099998474121094,False
2008-09-19,-0.2922677799614618,26,0.09151374811388646,-1.476630315386393,high_volatility,elevated,32.06999969482422,False
