date,text_count,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,q25,median,q75,sentiment_ma3,sentiment_ma7,sentiment_volatility,sentiment_momentum,sentiment_zscore
2008-09-01,24,-0.03240868759651979,0.376114605278621,-0.8962096981704235,0.7252875417470932,-0.18995892954990268,0.036737896502017975,0.1441798536106944,-0.03240868759651979,-0.03240868759651979,0.0,0.0,0.0
2008-09-02,26,-0.11222472507530272,0.5507290561775869,-0.8977136612,0.8714932203292847,-0.5389408376067877,-0.09978429693728685,0.12271665688604116,-0.07231670633591125,-0.07231670633591125,0.05643846134868704,-0.07981603747878294,0.0
2008-09-03,26,0.10729858780709597,0.4669613845255658,-0.9433924090117216,0.8807142795994878,-0.04898043815046549,0.04462598264217377,0.42230706941336393,-0.012444941621575514,-0.012444941621575514,0.111114961142638,0.21952331288239868,1.077654423826482
2008-09-04,26,-0.08631691720308596,0.41560918495433,-0.8422358147799969,0.8953991644084454,-0.29339739168062806,-0.04087257757782936,0.09303073678165674,-0.030414351490430907,-0.030912935516953125,0.09795555244037363,-0.19361550501018193,-0.5656032793021887
2008-09-05,26,-0.043013244867258396,0.32384756878046406,-0.8274795413,0.7782503217458725,-0.08431118912994862,0.02628700714558363,0.0853878678753972,-0.007343858087749465,-0.03333299738701418,0.08500441863631977,0.04330367233582756,-0.1138793445745436
2008-09-06,25,-0.0619567284360528,0.44263507538989605,-0.9196322122588754,0.9225938655436039,-0.24846846610307693,0.005619790405035019,0.10154379159212112,-0.06376229683546572,-0.03810361922852062,0.08594598745416039,-0.018943483568794404,-0.3100905721090087
2008-09-07,25,-0.11075752161443234,0.3816788623507896,-0.9185958318412304,0.8180426619946957,-0.1812993548810482,-0.06175365298986435,0.09488622844219208,-0.07190916497258118,-0.04848274814079372,0.08563646120373515,-0.048800793178379535,-0.825933670115881
2008-09-08,26,-0.1686513890309985,0.41940547285056595,-0.869663775,0.8361746119335294,-0.3704002685844898,-0.09187409654259682,0.035616151290014386,-0.11378854636049456,-0.06794599120286211,0.04883389652643521,-0.05789386741656616,-1.286700059745597
2008-09-09,26,-0.19007403425012642,0.36280008977084754,-0.7985646929591894,0.6059394776821136,-0.4863127861171961,-0.07157617434859276,0.024552930612117052,-0.15649431496518576,-0.07906732108497978,0.06428102849878264,-0.021422645219127928,-1.2885754289858418
2008-09-10,26,-0.16369756316704207,0.34429378227989044,-0.8490518610924482,0.4198994096368551,-0.43486830219626427,-0.042176077142357826,0.05234574247151613,-0.17414099548272233,-0.11778105693842808,0.05203611962931322,0.026376471083084357,-0.8940188053593913
2008-09-11,26,-0.11905083815888719,0.45859914513947053,-0.9105225801,0.9146999698132277,-0.42870612908154726,-0.009533027186989784,0.1039821607992053,-0.15760747852535187,-0.12245733136068539,0.034052359381906865,0.04464672500815488,-0.3606716693784658
2008-09-12,25,-0.2937855289505138,0.4509285291031266,-0.9371477821841836,0.704192690551281,-0.7654733713716269,-0.11628935486078262,0.03669975325465202,-0.19217797675881435,-0.15828194337257903,0.06501797656939558,-0.17473469079162662,-1.901558254538396
2008-09-13,25,-0.16967488251626492,0.4833359689831212,-0.9384845662862062,0.6601721122860909,-0.5471421033143997,-0.0781361386179924,0.06156032718718052,-0.19417041654188863,-0.17367025109832362,0.06494713541333799,0.12411064643424888,-0.6097349559603582
2008-09-14,25,-0.2752184278354881,0.42069852464250385,-0.9088077414780855,0.7553436066955328,-0.6687582097947598,-0.18374179303646088,0.03981765732169151,-0.24622627976742228,-0.19716466627276016,0.07607883817392055,-0.10554354531922319,-1.4913166123247337
2008-09-15,26,-0.09774661572793356,0.42286565279731364,-0.9430494755506516,0.8698679469525814,-0.30585263716056943,0.003110542893409729,0.08805339504033327,-0.18087997535989553,-0.18703541294375087,0.08942203221410992,0.17747181210755456,0.2998725477752921
2008-09-16,26,-0.15676361616002762,0.4657578265579116,-0.90920192,0.7413495853543282,-0.5601740079000592,-0.11305742710828781,0.12654458242468536,-0.17657621990781644,-0.18227678178802245,0.08320007783856104,-0.05901700043209407,-0.2625543003554454
