date,predicted_regime,confidence,prob_risk_on,prob_risk_off,prob_transition,actual,vix_close,regime
2022-11-01,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,transition,25.809999465942383,elevated
2022-11-02,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,transition,25.860000610351562,elevated
2022-11-03,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,transition,25.299999237060547,elevated
2022-11-04,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,24.549999237060547,normal
2022-11-07,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,24.350000381469727,normal
2022-11-08,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,transition,25.540000915527344,elevated
2022-11-09,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,transition,26.09000015258789,elevated
2022-11-10,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,23.530000686645508,normal
2022-11-11,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,22.520000457763672,normal
2022-11-14,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,23.729999542236328,normal
2022-11-15,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,24.540000915527344,normal
2022-11-16,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,24.110000610351562,normal
2022-11-17,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,23.93000030517578,normal
2022-11-18,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,23.1200008392334,normal
2022-11-21,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,22.360000610351562,normal
2022-11-22,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,21.290000915527344,normal
2022-11-23,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,20.350000381469727,normal
2022-11-25,transition,0.49003335791383185,0.3347884696542197,0.17517817243194841,0.49003335791383185,risk_on,20.5,normal
2022-11-28,transition,0.49003335791383185,0.3347884696542197,0.17517817243194841,0.49003335791383185,risk_on,22.209999084472656,normal
2022-11-29,transition,0.6292099367201863,0.27353145485310665,0.09725860842670704,0.6292099367201863,risk_on,21.889999389648438,normal
2022-11-30,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,risk_on,20.579999923706055,normal
