date,sentiment_mean,sentiment_std,text_count,equity_sentiment,crypto_sentiment,forex_sentiment,commodity_sentiment,sentiment_momentum,sentiment_momentum_7d,sentiment_acceleration,max_divergence,ciss,vix
2020-02-15,0.1198958904109588,0.0,365,0.1198958904109588,0.0,0.0,0.0,0.0,0.0,0.0,0.1198958904109588,0.0,0.0
2020-02-16,0.0970136507936507,0.0,315,0.0970136507936507,0.0,0.0,0.0,0.0,0.0,0.0,0.0970136507936507,0.0,0.0
2020-02-17,0.0605769892473118,0.0,465,0.0605769892473118,0.0,0.0,0.0,0.0,0.0,0.0,0.0605769892473118,0.0,0.0
2020-02-18,0.0840170526315789,0.0,950,0.0840170526315789,0.0,0.0,0.0,-0.035878837779379905,0.0,0.0,0.0840170526315789,0.0149,14.829999923706056
2020-02-19,0.0957782900251466,0.0,1193,0.0957782900251466,0.0,0.0,0.0,-0.0012353607685040985,0.0,0.034643477010875806,0.0957782900251466,0.012,14.380000114440918
2020-02-20,0.0570877260981912,0.0,1548,0.0570877260981912,0.0,0.0,0.0,-0.003489263149120604,0.0,-0.0022539023806165057,0.0570877260981912,0.0131,15.5600004196167
2020-02-21,0.0840708023774145,0.0,1346,0.0840708023774145,0.0,0.0,0.0,5.374974583560732e-05,0.0,0.0035430128949562115,0.0840708023774145,0.0111,17.079999923706055
2020-02-22,0.0885057142857142,0.0,525,0.0885057142857142,0.0,0.0,0.0,-0.007272575739432394,-0.0044843108750349525,-0.007326325485268001,0.0885057142857142,0.0111,17.079999923706055
2020-02-23,0.0573668329177057,0.0,401,0.0573668329177057,0.0,0.0,0.0,0.00027910681951450605,-0.005663831125134994,0.0075516825589469,0.0573668329177057,0.0111,17.079999923706055
2020-02-24,0.0205387723387723,0.0,1287,0.0205387723387723,0.0,0.0,0.0,-0.0635320300386422,-0.005719745272648499,-0.0638111368581567,0.0205387723387723,0.0324,25.030000686645508
2020-02-25,0.0173436318816762,0.0,1217,0.0173436318816762,0.0,0.0,0.0,-0.071162082404038,-0.00952477439284325,-0.007630052365395795,0.0173436318816762,0.0459,27.850000381469727
2020-02-26,0.0123197193500738,0.0,1354,0.0123197193500738,0.0,0.0,0.0,-0.0450471135676319,-0.011922652953581823,0.0261149688364061,0.0123197193500738,0.0641,27.559999465942383
2020-02-27,0.021707619047619,0.0,2100,0.021707619047619,0.0,0.0,0.0,0.0011688467088467012,-0.005054301007224593,0.046215960276478604,0.021707619047619,0.1139,39.15999984741211
2020-02-28,0.0108702029520295,0.0,2168,0.0108702029520295,0.0,0.0,0.0,-0.0064734289296467,-0.010457228489340713,-0.007642275638493401,0.0108702029520295,0.1705,40.11000061035156
2020-02-29,-0.0115450220264317,0.0,1135,-0.0115450220264317,0.0,0.0,0.0,-0.023864741376505502,-0.014292962330306563,-0.017391312446858802,0.0115450220264317,0.1705,40.11000061035156
2020-03-01,-0.0267727465535525,0.0,943,-0.0267727465535525,0.0,0.0,0.0,-0.0484803656011715,-0.012019939924465456,-0.024615624224665997,0.0267727465535525,0.1705,40.11000061035156
2020-03-02,-0.0478136009586578,0.0,1669,-0.0478136009586578,0.0,0.0,0.0,-0.058683803910687296,-0.009764624756775727,-0.010203438309515797,0.0478136009586578,0.2149,33.41999816894531
2020-03-03,-0.0188157401623985,0.0,1601,-0.0188157401623985,0.0,0.0,0.0,-0.0072707181359667975,-0.005165624577724956,0.0514130857747205,0.0188157401623985,0.2529,36.81999969482422
2020-03-04,0.018894014732965,0.0,1086,0.018894014732965,0.0,0.0,0.0,0.0456667612865175,0.0009391850546987424,0.05293747942248429,0.018894014732965,0.2565,31.989999771118164
2020-03-05,-0.0096435831180017,0.0,1161,-0.0096435831180017,0.0,0.0,0.0,0.0381700178406561,-0.004478743166517245,-0.007496743445861397,0.0096435831180017,0.2836,39.619998931884766
2020-03-06,0.0417320724980299,0.0,1269,0.0417320724980299,0.0,0.0,0.0,0.0605478126604284,0.004408838506571488,0.022377794819772298,0.0417320724980299,0.3174,41.939998626708984
2020-03-07,0.0036894132653061,0.0,784,0.0036894132653061,0.0,0.0,0.0,-0.0152046014676589,0.0021763478988196857,-0.0757524141280873,0.0036894132653061,0.3174,41.939998626708984
2020-03-08,-0.0297869426751592,0.0,628,-0.0297869426751592,0.0,0.0,0.0,-0.0201433595571575,-0.00043059944594381425,-0.004938758089498601,0.0297869426751592,0.3174,41.939998626708984
2020-03-09,0.0018806036395916,0.0,2253,0.0018806036395916,0.0,0.0,0.0,-0.039851468858438294,0.007099172085464199,-0.019708109301280793,0.0018806036395916,0.4007,54.459999084472656
2020-03-10,0.0114048226950354,0.0,1410,0.0114048226950354,0.0,0.0,0.0,0.007715409429729299,0.0043172232653477,0.047566878288167594,0.0114048226950354,0.451,47.29999923706055
2020-03-11,-0.0015668845315904,0.0,1377,-0.0015668845315904,0.0,0.0,0.0,0.0282200581435688,-0.0029229856092222004,0.020504648713839498,0.0015668845315904,0.4694,53.900001525878906
2020-03-12,0.0093718649517685,0.0,3110,0.0093718649517685,0.0,0.0,0.0,0.0074912613121769,0.002716492581395743,-0.0207287968313919,0.0093718649517685,0.5116,75.47000122070312
2020-03-13,-0.0148137865552601,0.0,2633,-0.0148137865552601,0.0,0.0,0.0,-0.0262186092502955,-0.008077979864755714,-0.0337098705624724,0.0148137865552601,0.5636,57.83000183105469
2020-03-14,-0.0338782383419688,0.0,1351,-0.0338782383419688,0.0,0.0,0.0,-0.0323113538103784,-0.0053668073724678425,-0.006092744560082897,0.0338782383419688,0.5636,57.83000183105469
2020-03-15,-0.0501593421973407,0.0,1429,-0.0501593421973407,0.0,0.0,0.0,-0.0595312071491092,-0.0029103427888830715,-0.027219853338730803,0.0501593421973407,0.5636,57.83000183105469
2020-03-16,0.0351942331288343,0.0,3260,0.0351942331288343,0.0,0.0,0.0,0.05000801968409441,0.0047590899270346715,0.1095392268332036,0.0351942331288343,0.5848,82.69000244140625
2020-03-17,-0.0143890790135883,0.0,1987,-0.0143890790135883,0.0,0.0,0.0,0.0194891593283805,-0.003684843101231958,-0.030518860355713908,0.0143890790135883,0.6186,75.91000366210938
2020-03-18,0.0088436227669297,0.0,2407,0.0088436227669297,0.0,0.0,0.0,0.059002964964270405,0.0014872153283600146,0.03951380563588991,0.0088436227669297,0.6359,76.44999694824219
2020-03-19,-0.0035360638297872,0.0,1880,-0.0035360638297872,0.0,0.0,0.0,-0.038730296958621506,-0.0018439898259365282,-0.09773326192289192,0.0035360638297872,0.6347,72.0
2020-03-20,-0.0191640064274236,0.0,1867,-0.0191640064274236,0.0,0.0,0.0,-0.004774927413835301,-0.0006214599817376421,0.0339553695447862,0.0191640064274236,0.6722,66.04000091552734
2020-03-21,-0.0334052631578947,0.0,893,-0.0334052631578947,0.0,0.0,0.0,-0.0422488859248244,6.756788343915618e-05,-0.0374739585109891,0.0334052631578947,0.6722,66.04000091552734
2020-03-22,-0.0370115384615384,0.0,936,-0.0370115384615384,0.0,0.0,0.0,-0.0334754746317512,0.0018782576765431838,0.0087734112930732,0.0370115384615384,0.6722,66.04000091552734
2020-03-23,-0.0263573923892701,0.0,1603,-0.0263573923892701,0.0,0.0,0.0,-0.007193385961846498,-0.008793089359729198,0.0262820886699047,0.0263573923892701,0.6655,61.59000015258789
