date,sentiment_mean,sentiment_std,text_count,equity_sentiment,crypto_sentiment,forex_sentiment,commodity_sentiment,sentiment_momentum,sentiment_momentum_7d,sentiment_acceleration,max_divergence,ciss,vix
2023-03-01,0.032436629508439146,0.03364805782146697,1063,0.0562293993677555,0.0,0.0086438596491228,0.0,0.0,0.0,0.0,0.0562293993677555,0.0902,20.579999923706055
2023-03-02,-0.029515450061876697,0.1439202801982834,1078,0.0722515560165975,0.0,-0.1312824561403509,0.0,0.0,0.0,0.0,0.20353401215694839,0.089,19.59000015258789
2023-03-03,0.026166010037052698,0.038805911370961316,1019,0.0536059331175836,0.0,-0.0012739130434782,0.0,0.0,0.0,0.0,0.0548798461610618,0.0929,18.489999771118164
2023-03-04,-0.010759931895573248,0.1297400485263117,883,0.0809801362088535,0.0,-0.1025,0.0,-0.043196561404012394,0.0,0.0,0.1834801362088535,0.0929,18.489999771118164
2023-03-05,0.008475333704115653,0.0745648820050076,907,0.0612006674082313,0.0,-0.04425,0.0,0.03799078376599235,0.0,0.08118734517000475,0.10545066740823131,0.0929,18.489999771118164
2023-03-06,-0.05076159161054995,0.14030010887885605,987,0.0484455667789001,0.0,-0.14996875,0.0,-0.07692760164760265,0.0,-0.114918385413595,0.19841431677890012,0.0933,18.61000061035156
2023-03-07,-0.027872731308646953,0.13452226855239244,1041,0.0672488770053476,0.0,-0.1229943396226415,0.0,-0.017112799413073705,0.0,0.059814802234528945,0.1902432166279891,0.09,19.59000015258789
2023-03-08,-0.06947075554134696,0.18423574198972353,1022,0.0608035869565217,0.0,-0.1997450980392156,0.0,-0.07794608924546262,-0.014558197864255159,-0.06083328983238891,0.2605486849957373,0.0947,19.11000061035156
2023-03-09,-0.03735206611570249,0.1571129907290703,1056,0.0737435950413223,0.0,-0.1484477272727273,0.0,0.01340952549484746,-0.0011195165791179698,0.09135561474031008,0.2221913223140496,0.0933,22.61000061035156
2023-03-10,0.012444589692765151,0.028491580379074344,1109,0.0325911793855302,0.0,-0.0077019999999999,0.0,0.0403173210014121,-0.001960202906326789,0.026907795506564643,0.040293179385530106,0.1153,24.799999237060547
2023-03-11,0.0357933673469387,0.0,980,0.0357933673469387,0.0,0.0357933673469387,0.0,0.10526412288828565,0.006650471320358845,0.06494680188687355,0.0357933673469387,0.1153,24.799999237060547
2023-03-12,-0.050195110939112504,0.0923904151382368,977,0.015134778121775,0.0,-0.115525,0.0,-0.012843044823410012,-0.008381492091889736,-0.11810716771169566,0.130659778121775,0.1153,24.799999237060547
2023-03-13,0.00578710626273855,0.005483729694556236,1112,0.0096646887159533,0.0,0.0019095238095238,0.0,-0.006657483430026602,0.008078385410469787,0.00618556139338341,0.0096646887159533,0.1561,26.520000457763672
2023-03-14,-0.00453786873422285,0.05656313145781703,979,0.0354583050847457,0.0,-0.0445340425531914,0.0,-0.04033123608116155,0.0033335517963463002,-0.033673752651134946,0.0799923476379371,0.1695,23.729999542236328
