date,predicted,actual,vix_close
2023-03-01,normal,normal,20.579999923706055
2023-03-02,elevated,normal,19.59000015258789
2023-03-03,normal,normal,18.489999771118164
2023-03-06,normal,normal,18.610000610351562
2023-03-07,normal,normal,19.59000015258789
2023-03-08,elevated,normal,19.110000610351562
2023-03-09,elevated,normal,22.610000610351562
2023-03-10,normal,normal,24.799999237060547
2023-03-13,normal,elevated,26.520000457763672
2023-03-14,normal,normal,23.729999542236328
2023-03-15,normal,elevated,26.139999389648438
2023-03-16,elevated,normal,22.989999771118164
2023-03-17,normal,elevated,25.510000228881836
2023-03-20,normal,normal,24.149999618530273
2023-03-21,normal,normal,21.3799991607666
2023-03-22,normal,normal,22.260000228881836
2023-03-23,normal,normal,22.610000610351562
2023-03-24,elevated,normal,21.739999771118164
2023-03-27,normal,normal,20.600000381469727
2023-03-28,normal,normal,19.969999313354492
2023-03-29,normal,normal,19.1200008392334
2023-03-30,normal,normal,19.020000457763672
2023-03-31,normal,normal,18.700000762939453
