date,predicted_regime,confidence,ml_prediction,ml_confidence,rule_prediction,rule_confidence,agreement,method,weights_used,actual,vix_close,regime
2022-11-01,risk_off,0.4162708168862481,risk_off,0.6243906352186795,transition,0.5204554469380047,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,25.809999465942383,elevated
2022-11-02,risk_off,0.4167530369242195,risk_off,0.6243906352186795,transition,0.5264831974126473,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,25.860000610351562,elevated
2022-11-03,risk_off,0.41677768114828884,risk_off,0.6243906352186795,transition,0.5267912502135141,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,25.299999237060547,elevated
2022-11-04,risk_off,0.41607438530928786,risk_off,0.6243906352186795,transition,0.5180000522260017,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,24.549999237060547,normal
2022-11-07,risk_off,0.4166667255118628,risk_off,0.6243906352186795,transition,0.5254043047581883,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,24.350000381469727,normal
2022-11-08,risk_off,0.4179581664573673,risk_off,0.6243906352186795,transition,0.5415473165769945,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,25.540000915527344,elevated
2022-11-09,risk_off,0.42295364325420354,risk_off,0.6243906352186795,transition,0.6039907765374477,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,26.09000015258789,elevated
2022-11-10,risk_off,0.4342663402492592,risk_off,0.6243906352186795,transition,0.44723969338538583,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,23.530000686645508,normal
2022-11-11,risk_off,0.42133687356380917,risk_off,0.6243906352186795,transition,0.5837811554075178,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,22.520000457763672,normal
2022-11-14,risk_off,0.4203990711680019,risk_off,0.6243906352186795,transition,0.5720586254599269,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,23.729999542236328,normal
2022-11-15,risk_off,0.41642479348287115,risk_off,0.6243906352186795,transition,0.5223801543957928,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,24.540000915527344,normal
2022-11-16,risk_off,0.41851114401878775,risk_off,0.6243906352186795,transition,0.54845953609475,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,24.110000610351562,normal
2022-11-17,risk_off,0.41944074118049124,risk_off,0.6243906352186795,transition,0.5600795006160437,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,23.93000030517578,normal
2022-11-18,risk_off,0.4151117866820239,risk_off,0.6243906352186795,transition,0.5059675693852025,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,23.1200008392334,normal
2022-11-21,risk_off,0.4207084688941092,risk_off,0.6243906352186795,transition,0.5759260970362682,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,22.360000610351562,normal
2022-11-22,risk_off,0.41786310430248247,risk_off,0.6243906352186795,transition,0.540359039640934,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,21.290000915527344,normal
2022-11-23,risk_off,0.41623757387076366,risk_off,0.6243906352186795,transition,0.5200399092444487,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,20.350000381469727,normal
2022-11-25,transition,0.526720115680593,transition,0.49003335791383185,transition,0.526720115680593,True,agreement,,risk_on,20.5,normal
2022-11-28,transition,0.5545698336967319,transition,0.49003335791383185,transition,0.5545698336967319,True,agreement,,risk_on,22.209999084472656,normal
2022-11-29,transition,0.6292099367201863,transition,0.6292099367201863,transition,0.5317968077875603,True,agreement,,risk_on,21.889999389648438,normal
2022-11-30,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.5497726549026362,True,agreement,,risk_on,20.579999923706055,normal
