date,predicted_regime,confidence,ml_prediction,ml_confidence,rule_prediction,rule_confidence,agreement,method,weights_used,actual,vix_close,regime
2020-02-18,risk_on,0.7019971365688052,risk_on,0.8814034414639098,transition,0.4725936006448764,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,14.829999923706055,low_volatility
2020-02-19,risk_on,0.7007292202457638,risk_on,0.8814034414639098,transition,0.4752350929845461,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,14.380000114440918,low_volatility
2020-02-20,risk_on,0.6817902517586258,risk_on,0.8814034414639098,transition,0.5146912773327501,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,15.5600004196167,normal
2020-02-21,risk_on,0.6783202571739657,risk_on,0.8814034414639098,transition,0.5219204327174588,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,17.079999923706055,normal
2020-02-24,risk_on,0.8814034414639098,risk_on,0.8814034414639098,risk_on,0.49349817140836527,True,agreement,,transition,25.030000686645508,elevated
2020-02-25,risk_on,0.8814034414639098,risk_on,0.8814034414639098,risk_on,0.494520720912305,True,agreement,,transition,27.850000381469727,elevated
2020-02-26,risk_on,0.6873545355846251,risk_on,0.8814034414639098,transition,0.503099019361918,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,27.559999465942383,elevated
2020-02-27,risk_on,0.6788241360963803,risk_on,0.8814034414639098,transition,0.4808037091960876,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,39.15999984741211,high_volatility
2020-02-28,transition,0.587858934477155,transition,0.587858934477155,transition,0.4766987197395674,True,agreement,,risk_off,40.11000061035156,high_volatility
2020-03-02,transition,0.5337633880199846,transition,0.6584494254213507,risk_on,0.4346814142489292,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",transition,33.41999816894531,elevated
2020-03-03,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.4782678552382299,True,agreement,,risk_off,36.81999969482422,high_volatility
2020-03-04,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.4668544977241321,True,agreement,,transition,31.989999771118164,elevated
2020-03-05,transition,0.5897730568201389,transition,0.5897730568201389,transition,0.4670169786547555,True,agreement,,risk_off,39.619998931884766,high_volatility
2020-03-06,transition,0.4918743162614702,transition,0.5897730568201389,risk_on,0.4824606918647993,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,41.939998626708984,high_volatility
2020-03-09,risk_off,0.4402956519705762,risk_off,0.6243906352186795,transition,0.4648450067294891,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,54.459999084472656,high_volatility
2020-03-10,risk_off,0.4318076656271431,risk_off,0.6243906352186795,transition,0.476444037466128,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,47.29999923706055,high_volatility
2020-03-11,risk_off,0.43081258206379297,risk_off,0.6243906352186795,transition,0.4681516744382102,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,53.900001525878906,high_volatility
2020-03-12,risk_off,0.4317604681369083,risk_off,0.6243906352186795,transition,0.47605072504750506,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,75.47000122070312,high_volatility
2020-03-13,risk_off,0.4378297280381298,risk_off,0.6243906352186795,transition,0.4716659956206631,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,57.83000183105469,high_volatility
2020-03-16,risk_off,0.4439391281234783,risk_off,0.6243906352186795,risk_on,0.48021439755797063,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,82.69000244140625,high_volatility
2020-03-17,risk_off,0.4314634210965299,risk_off,0.6243906352186795,transition,0.4735753330443517,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,75.91000366210938,high_volatility
2020-03-18,risk_off,0.44243761850459895,risk_off,0.6243906352186795,risk_on,0.4914757196995657,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,76.44999694824219,high_volatility
2020-03-19,risk_off,0.44011358354938834,risk_off,0.6243906352186795,transition,0.4655267367834931,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,72.0,high_volatility
2020-03-20,risk_off,0.4333477183508751,risk_off,0.6243906352186795,transition,0.47911018197648514,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,66.04000091552734,high_volatility
2020-03-23,risk_off,0.43407872826748295,risk_off,0.6243906352186795,transition,0.48002293613492764,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,61.59000015258789,high_volatility
2020-03-24,risk_off,0.4351621728110537,risk_off,0.6243906352186795,transition,0.4831154212255672,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,61.66999816894531,high_volatility
2020-03-25,risk_off,0.43228593531442594,risk_off,0.6243906352186795,transition,0.48042961819348484,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,63.95000076293945,high_volatility
2020-03-26,risk_off,0.43247406748375794,risk_off,0.6243906352186795,transition,0.4819973862712516,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,61.0,high_volatility
2020-03-27,risk_off,0.43088767503737435,risk_off,0.6243906352186795,transition,0.4687774492180551,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,65.54000091552734,high_volatility
2020-03-30,risk_off,0.4359285723723588,risk_off,0.6243906352186795,transition,0.47738939560509175,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,57.08000183105469,high_volatility
2020-03-31,risk_off,0.4312230856884113,risk_off,0.6243906352186795,transition,0.4715725379766963,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,53.540000915527344,high_volatility
2020-04-01,risk_off,0.4312671491117544,risk_off,0.6243906352186795,transition,0.47193973317122223,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,57.060001373291016,high_volatility
2020-04-02,risk_off,0.4351903882756213,risk_off,0.6243906352186795,transition,0.48137958984527474,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,50.90999984741211,high_volatility
2020-04-03,risk_off,0.46626937667527807,risk_off,0.6243906352186795,risk_on,0.4188975542472875,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,46.79999923706055,high_volatility
2020-04-06,risk_off,0.4411902529496105,risk_off,0.6243906352186795,risk_on,0.5008309613619794,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,45.2400016784668,high_volatility
2020-04-07,risk_off,0.430988522760246,risk_off,0.6243906352186795,transition,0.4696178469086522,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,46.70000076293945,high_volatility
2020-04-08,risk_off,0.440656609093877,risk_off,0.6243906352186795,transition,0.4720376204392282,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_off,43.349998474121094,high_volatility
