date,predicted_regime,confidence,ml_prediction,ml_confidence,rule_prediction,rule_confidence,agreement,method,weights_used,actual,vix_close,regime
2023-03-01,risk_on,0.6748649026433746,risk_on,0.8814034414639098,transition,0.5291190879895235,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,20.579999923706055,normal
2023-03-02,risk_on,0.6223665317553251,risk_on,0.8814034414639098,transition,0.6384906940062934,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,19.59000015258789,normal
2023-03-03,risk_on,0.67393384638248,risk_on,0.8814034414639098,transition,0.5310587885330539,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,18.489999771118164,normal
2023-03-06,risk_on,0.656988779383323,risk_on,0.8814034414639098,transition,0.5097249103031678,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,18.610000610351562,normal
2023-03-07,risk_on,0.627811251401997,risk_on,0.8814034414639098,transition,0.6271475280757268,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,19.59000015258789,normal
2023-03-08,risk_on,0.622526447904513,risk_on,0.8814034414639098,transition,0.5743417818259366,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,19.110000610351562,normal
2023-03-09,risk_on,0.6180230896130888,risk_on,0.8814034414639098,transition,0.6475395318026188,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,22.610000610351562,normal
2023-03-10,risk_on,0.6849243462940224,risk_on,0.8814034414639098,transition,0.5081619137173404,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,24.799999237060547,normal
2023-03-13,transition,0.5268995950479168,transition,0.5268995950479168,transition,0.504652557511073,True,agreement,,transition,26.520000457763672,elevated
2023-03-14,transition,0.6560644682652619,transition,0.6560644682652619,transition,0.5465954465684005,True,agreement,,risk_on,23.729999542236328,normal
2023-03-15,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.5967848840365965,True,agreement,,transition,26.139999389648438,elevated
2023-03-16,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.540484613507003,True,agreement,,risk_on,22.989999771118164,normal
2023-03-17,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.5874850204563133,True,agreement,,transition,25.510000228881836,elevated
2023-03-20,transition,0.6584494254213507,transition,0.6584494254213507,transition,0.5290695604496506,True,agreement,,risk_on,24.149999618530273,normal
2023-03-21,transition,0.536960757478104,transition,0.6584494254213507,risk_on,0.5270296592490213,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,21.3799991607666,normal
2023-03-22,transition,0.5378330405649244,transition,0.6258666551442104,risk_on,0.45895650840533936,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,22.260000228881836,normal
2023-03-23,transition,0.5175122546038448,transition,0.4913128391173136,transition,0.5175122546038448,True,agreement,,risk_on,22.610000610351562,normal
2023-03-24,risk_off,0.4444011736645861,risk_off,0.6243906352186795,transition,0.5232509440003374,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,21.739999771118164,normal
2023-03-27,risk_off,0.39342685120192405,risk_off,0.5700304658350703,risk_on,0.48591428299118133,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,20.600000381469727,normal
2023-03-28,risk_off,0.3420913784282053,risk_off,0.5000715418022963,transition,0.5256056668353442,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,19.969999313354492,normal
2023-03-29,transition,0.5061597024030011,transition,0.49003335791383185,transition,0.5061597024030011,True,agreement,,risk_on,19.1200008392334,normal
2023-03-30,transition,0.4918132304428331,transition,0.5705395433747537,risk_on,0.5017016519400637,False,weighted_voting,"{'ml': 0.6, 'rule': 0.4}",risk_on,19.020000457763672,normal
2023-03-31,transition,0.6388876622601158,transition,0.6388876622601158,transition,0.5363353316842134,True,agreement,,risk_on,18.700000762939453,normal
